num_removed,accuracy
0,0.955
1,0.954
2,0.952
3,0.952
4,0.952
5,0.9525
6,0.9525
7,0.9515
8,0.9525
9,0.9525
10,0.9535
11,0.9525
12,0.954
13,0.954
14,0.954
15,0.9525
16,0.951
17,0.9535
18,0.952
19,0.9555
20,0.954
21,0.9545
22,0.955
23,0.9545
24,0.9545
25,0.9545
26,0.954
27,0.9525
28,0.9525
29,0.953
30,0.953
31,0.953
32,0.9525
33,0.9535
34,0.954
35,0.956
36,0.954
37,0.953
38,0.955
39,0.955
40,0.949
41,0.9495
42,0.95
43,0.951
44,0.9515
45,0.9495
46,0.951
47,0.949
48,0.9485
49,0.953
50,0.9505
51,0.951
52,0.9525
53,0.955
54,0.9505
55,0.9525
56,0.9515
57,0.9485
58,0.948
59,0.9485
60,0.948
61,0.948
62,0.9525
63,0.9495
64,0.954
65,0.9545
66,0.9545
67,0.954
68,0.9545
69,0.9505
70,0.9515
71,0.9505
72,0.9485
73,0.9515
74,0.9515
75,0.9475
76,0.9485
77,0.951
78,0.9495
79,0.948
80,0.948
81,0.9555
82,0.948
83,0.948
84,0.9495
85,0.9495
86,0.9485
87,0.949
88,0.95
89,0.948
90,0.948
91,0.9505
92,0.9485
93,0.949
94,0.95
95,0.9505
96,0.949
97,0.948
98,0.9495
99,0.951
100,0.9515
101,0.9515
102,0.9515
103,0.953
104,0.9505
105,0.95
106,0.9495
107,0.9475
108,0.9475
109,0.9485
110,0.9485
111,0.949
112,0.9465
113,0.9475
114,0.9455
115,0.9475
116,0.9475
117,0.9475
118,0.945
119,0.9485
120,0.9485
121,0.951
122,0.9485
123,0.953
124,0.95
125,0.949
126,0.9485
127,0.954
128,0.9515
129,0.95
130,0.949
131,0.95
132,0.9475
133,0.9465
134,0.9475
135,0.9445
136,0.9405
137,0.9425
138,0.936
139,0.937
140,0.939
141,0.9385
142,0.935
143,0.938
144,0.938
145,0.936
146,0.935
147,0.934
148,0.9345
149,0.9285
150,0.9285
151,0.9285
152,0.929
153,0.9285
154,0.928
155,0.9235
156,0.9215
157,0.922
158,0.92
159,0.924
160,0.918
161,0.921
162,0.9225
163,0.921
164,0.914
165,0.9125
166,0.913
167,0.91
168,0.912
169,0.9135
170,0.9135
171,0.9165
172,0.914
173,0.9135
174,0.9145
175,0.9165
176,0.914
177,0.9155
178,0.913
179,0.9155
180,0.911
181,0.9135
182,0.917
183,0.913
184,0.9085
185,0.9095
186,0.9075
187,0.9075
188,0.907
189,0.908
190,0.911
191,0.9065
192,0.908
193,0.906
194,0.9085
195,0.9105
196,0.9075
197,0.912
198,0.912
199,0.9115
200,0.9095
201,0.9105
202,0.9125
203,0.903
204,0.907
205,0.9015
206,0.9055
207,0.902
208,0.9015
209,0.8985
210,0.9025
211,0.9
212,0.8995
213,0.899
214,0.901
215,0.888
216,0.881
217,0.867
218,0.8665
219,0.867
220,0.8665
221,0.8675
222,0.8695
223,0.872
224,0.8735
225,0.8725
226,0.8705
227,0.866
228,0.8695
229,0.8725
230,0.8645
231,0.8695
232,0.863
233,0.8595
234,0.8435
235,0.852
236,0.8465
237,0.833
238,0.8335
239,0.8235
240,0.796
241,0.769
242,0.785
243,0.778
244,0.7925
245,0.7235
246,0.5925
247,0.559
248,0.521
249,0.522
250,0.522
251,0.522
252,0.522
253,0.522
254,0.523
255,0.522
256,0.523
257,0.522
258,0.522
259,0.522
260,0.522
261,0.523
262,0.522
263,0.523
264,0.522
265,0.522
266,0.5205
267,0.5205
268,0.5205
269,0.5205
270,0.5205
271,0.5205
272,0.5195
273,0.5205
274,0.5205
275,0.5195
276,0.5205
277,0.519
278,0.5195
279,0.5195
280,0.5195
281,0.5195
282,0.5195
283,0.5195
284,0.5195
285,0.5195
286,0.5195
287,0.5195
288,0.5195
289,0.519
290,0.5195
291,0.5195
292,0.5195
293,0.5195
294,0.5195
295,0.5195
296,0.5195
297,0.5195
298,0.5195
299,0.5195
300,0.5195
301,0.5195
302,0.5195
303,0.52
304,0.52
305,0.52
306,0.52
307,0.52
308,0.52
309,0.52
310,0.52
311,0.52
312,0.52
313,0.519
314,0.52
315,0.52
316,0.519
317,0.52
318,0.52
319,0.52
