num_removed,accuracy
0,0.946
1,0.946
2,0.95
3,0.9515
4,0.951
5,0.9475
6,0.9445
7,0.952
8,0.9515
9,0.947
10,0.9505
11,0.952
12,0.9465
13,0.9455
14,0.9465
15,0.949
16,0.95
17,0.945
18,0.9495
19,0.9495
20,0.9495
21,0.952
22,0.948
23,0.9485
24,0.9485
25,0.9495
26,0.949
27,0.9465
28,0.9515
29,0.948
30,0.95
31,0.948
32,0.949
33,0.949
34,0.949
35,0.9485
36,0.9485
37,0.949
38,0.9515
39,0.95
40,0.95
41,0.9515
42,0.9515
43,0.9505
44,0.9485
45,0.95
46,0.95
47,0.952
48,0.95
49,0.9535
50,0.95
51,0.9495
52,0.948
53,0.9515
54,0.9535
55,0.9505
56,0.951
57,0.9525
58,0.9535
59,0.951
60,0.952
61,0.952
62,0.952
63,0.952
64,0.952
65,0.9515
66,0.9515
67,0.95
68,0.948
69,0.951
70,0.9475
71,0.947
72,0.948
73,0.9495
74,0.9495
75,0.95
76,0.9475
77,0.942
78,0.9475
79,0.943
80,0.949
81,0.9465
82,0.948
83,0.9465
84,0.948
85,0.948
86,0.9485
87,0.949
88,0.9505
89,0.946
90,0.946
91,0.9445
92,0.9445
93,0.9505
94,0.95
95,0.9465
96,0.9485
97,0.947
98,0.948
99,0.9525
100,0.952
101,0.951
102,0.949
103,0.9495
104,0.95
105,0.95
106,0.95
107,0.9485
108,0.9485
109,0.9475
110,0.95
111,0.95
112,0.9485
113,0.9525
114,0.9525
115,0.9525
116,0.9525
117,0.953
118,0.949
119,0.949
120,0.949
121,0.95
122,0.95
123,0.95
124,0.951
125,0.9525
126,0.95
127,0.95
128,0.951
129,0.951
130,0.951
131,0.951
132,0.9485
133,0.9525
134,0.9495
135,0.948
136,0.9505
137,0.951
138,0.9505
139,0.9505
140,0.951
141,0.952
142,0.951
143,0.9505
144,0.948
145,0.948
146,0.9495
147,0.9485
148,0.9485
149,0.949
150,0.9505
151,0.95
152,0.9525
153,0.952
154,0.952
155,0.9505
156,0.9515
157,0.9515
158,0.952
159,0.95
160,0.9505
161,0.9535
162,0.953
163,0.9525
164,0.9535
165,0.9505
166,0.95
167,0.9485
168,0.95
169,0.9515
170,0.9495
171,0.9485
172,0.9485
173,0.946
174,0.947
175,0.9475
176,0.9465
177,0.944
178,0.9475
179,0.945
180,0.9465
181,0.947
182,0.949
183,0.948
184,0.948
185,0.9475
186,0.9475
187,0.9485
188,0.947
189,0.95
190,0.9505
191,0.9485
192,0.9495
193,0.949
194,0.948
195,0.949
196,0.947
197,0.9505
198,0.9505
199,0.9505
200,0.9485
201,0.949
202,0.9515
203,0.9495
204,0.9455
205,0.947
206,0.9465
207,0.949
208,0.95
209,0.95
210,0.95
211,0.9495
212,0.9515
213,0.9495
214,0.9465
215,0.9465
216,0.95
217,0.949
218,0.9495
219,0.9485
220,0.95
221,0.9495
222,0.9495
223,0.9505
224,0.9525
225,0.9485
226,0.9485
227,0.9495
228,0.9515
229,0.95
230,0.9515
231,0.9495
232,0.951
233,0.9495
234,0.9485
235,0.9505
236,0.952
237,0.952
238,0.951
239,0.952
240,0.9515
241,0.949
242,0.9495
243,0.948
244,0.948
245,0.951
246,0.953
247,0.9505
248,0.95
249,0.9495
250,0.9505
251,0.952
252,0.952
253,0.9515
254,0.9525
255,0.953
256,0.953
257,0.953
258,0.953
259,0.951
260,0.953
261,0.951
262,0.95
263,0.952
264,0.9525
265,0.951
266,0.9515
267,0.951
268,0.9535
269,0.948
270,0.948
271,0.9485
272,0.9485
273,0.9475
274,0.9475
275,0.9465
276,0.9465
277,0.9505
278,0.9485
279,0.947
280,0.9465
281,0.943
282,0.945
283,0.9455
284,0.943
285,0.944
286,0.9445
287,0.9445
288,0.9445
289,0.9445
290,0.9445
291,0.945
292,0.945
293,0.945
294,0.9435
295,0.9455
296,0.943
297,0.945
298,0.9425
299,0.946
300,0.943
301,0.9425
302,0.949
303,0.945
304,0.95
305,0.9475
306,0.9475
307,0.9425
308,0.9475
309,0.946
310,0.9445
311,0.9425
312,0.9445
313,0.945
314,0.94
315,0.9405
316,0.945
317,0.945
318,0.945
319,0.9425
320,0.942
321,0.938
322,0.938
323,0.94
324,0.94
325,0.936
326,0.9325
327,0.9355
328,0.9355
329,0.9385
330,0.9365
331,0.94
332,0.9385
333,0.9355
334,0.9385
335,0.9355
336,0.935
337,0.938
338,0.9325
339,0.937
340,0.9375
341,0.9375
342,0.9405
343,0.937
344,0.9385
345,0.936
346,0.9405
347,0.9335
348,0.939
349,0.9365
350,0.9365
351,0.9395
352,0.941
353,0.9435
354,0.9395
355,0.9405
356,0.9405
357,0.9415
358,0.943
359,0.938
360,0.9345
361,0.939
362,0.9445
363,0.9375
364,0.9375
365,0.94
366,0.9425
367,0.94
368,0.942
369,0.9405
370,0.9395
371,0.9415
372,0.9405
373,0.9415
374,0.9315
375,0.9265
376,0.9295
377,0.9325
378,0.9335
379,0.931
380,0.9325
381,0.9315
382,0.9345
383,0.933
384,0.9295
385,0.934
386,0.9335
387,0.9355
388,0.943
389,0.942
390,0.943
391,0.9445
392,0.941
393,0.944
394,0.944
395,0.946
396,0.942
397,0.945
398,0.947
399,0.9445
400,0.9415
401,0.934
402,0.938
403,0.939
404,0.9425
405,0.939
406,0.94
407,0.9395
408,0.9405
409,0.9405
410,0.9405
411,0.9455
412,0.9395
413,0.9405
414,0.945
415,0.946
416,0.9425
417,0.947
418,0.943
419,0.939
420,0.937
421,0.934
422,0.937
423,0.937
424,0.9315
425,0.9395
426,0.929
427,0.931
428,0.929
429,0.9365
430,0.936
431,0.9355
432,0.934
433,0.9375
434,0.934
435,0.931
436,0.931
437,0.927
438,0.9155
439,0.913
440,0.9105
441,0.909
442,0.9065
443,0.911
444,0.909
445,0.911
446,0.908
447,0.91
448,0.91
449,0.9055
450,0.894
451,0.8925
452,0.903
453,0.914
454,0.902
455,0.887
456,0.889
457,0.9015
458,0.8755
459,0.8765
460,0.8755
461,0.885
462,0.89
463,0.882
464,0.888
465,0.887
466,0.8855
467,0.888
468,0.8855
469,0.878
470,0.8795
471,0.766
472,0.766
473,0.766
474,0.766
475,0.766
476,0.766
477,0.766
478,0.766
479,0.766
480,0.7985
481,0.766
482,0.757
483,0.837
484,0.858
485,0.847
486,0.8385
487,0.663
488,0.697
489,0.519
490,0.519
491,0.519
492,0.519
493,0.519
494,0.519
495,0.481
496,0.519
497,0.519
498,0.519
499,0.519
