num_removed,accuracy
0,0.958
1,0.958
2,0.9565
3,0.9565
4,0.9565
5,0.9565
6,0.9565
7,0.9565
8,0.9565
9,0.9565
10,0.9565
11,0.9565
12,0.9565
13,0.957
14,0.956
15,0.9585
16,0.9585
17,0.956
18,0.958
19,0.956
20,0.956
21,0.956
22,0.9595
23,0.959
24,0.959
25,0.959
26,0.959
27,0.959
28,0.96
29,0.959
30,0.957
31,0.9595
32,0.9565
33,0.9565
34,0.96
35,0.96
36,0.96
37,0.959
38,0.959
39,0.96
40,0.9605
41,0.9585
42,0.9585
43,0.9585
44,0.9585
45,0.9585
46,0.96
47,0.9595
48,0.9595
49,0.9595
50,0.959
51,0.9595
52,0.96
53,0.9575
54,0.9575
55,0.959
56,0.9625
57,0.959
58,0.9585
59,0.958
60,0.958
61,0.958
62,0.9585
63,0.958
64,0.9585
65,0.958
66,0.9595
67,0.9595
68,0.9595
69,0.959
70,0.9585
71,0.959
72,0.9585
73,0.959
74,0.9585
75,0.9595
76,0.959
77,0.959
78,0.9585
79,0.9575
80,0.9595
81,0.9595
82,0.957
83,0.9595
84,0.9585
85,0.9595
86,0.959
87,0.9595
88,0.9585
89,0.9575
90,0.9585
91,0.9585
92,0.959
93,0.959
94,0.9585
95,0.9585
96,0.96
97,0.9595
98,0.9595
99,0.9605
100,0.96
101,0.9585
102,0.961
103,0.961
104,0.96
105,0.9595
106,0.96
107,0.96
108,0.9585
109,0.9605
110,0.9605
111,0.9605
112,0.958
113,0.96
114,0.9585
115,0.96
116,0.959
117,0.9595
118,0.958
119,0.96
120,0.96
121,0.961
122,0.961
123,0.961
124,0.961
125,0.961
126,0.961
127,0.9615
128,0.9615
129,0.959
130,0.959
131,0.964
132,0.964
133,0.964
134,0.9645
135,0.9635
136,0.962
137,0.962
138,0.9635
139,0.9625
140,0.9625
141,0.9635
142,0.9635
143,0.9635
144,0.9615
145,0.965
146,0.9625
147,0.9635
148,0.962
149,0.961
150,0.963
151,0.963
152,0.963
153,0.962
154,0.962
155,0.9625
156,0.964
157,0.9645
158,0.9635
159,0.964
160,0.963
161,0.9635
162,0.963
163,0.963
164,0.9635
165,0.9655
166,0.9635
167,0.9605
168,0.9635
169,0.9645
170,0.9635
171,0.964
172,0.9635
173,0.961
174,0.9615
175,0.9625
176,0.962
177,0.9635
178,0.965
179,0.965
180,0.965
181,0.964
182,0.9635
183,0.964
184,0.965
185,0.961
186,0.961
187,0.9625
188,0.963
189,0.9635
190,0.9625
191,0.962
192,0.9625
193,0.9635
194,0.9635
195,0.9615
196,0.9605
197,0.9655
198,0.9625
199,0.9625
200,0.962
201,0.9625
202,0.962
203,0.963
204,0.962
205,0.963
206,0.9645
207,0.9635
208,0.9645
209,0.964
210,0.963
211,0.963
212,0.962
213,0.961
214,0.9635
215,0.963
216,0.964
217,0.9625
218,0.962
219,0.962
220,0.9625
221,0.962
222,0.963
223,0.9635
224,0.963
225,0.963
226,0.963
227,0.9635
228,0.9635
229,0.963
230,0.9605
231,0.9595
232,0.963
233,0.963
234,0.96
235,0.962
236,0.963
237,0.9625
238,0.962
239,0.9515
240,0.965
241,0.957
242,0.9615
243,0.9625
244,0.9625
245,0.962
246,0.9645
247,0.9635
248,0.9635
249,0.9635
250,0.964
251,0.9645
252,0.964
253,0.965
254,0.9655
255,0.9615
256,0.962
257,0.961
258,0.9625
259,0.963
260,0.9605
261,0.9515
262,0.9505
263,0.952
264,0.9535
265,0.9515
266,0.958
267,0.9595
268,0.9625
269,0.9635
270,0.962
271,0.96
272,0.962
273,0.9605
274,0.965
275,0.9645
276,0.9645
277,0.9615
278,0.9605
279,0.963
280,0.966
281,0.964
282,0.961
283,0.965
284,0.9635
285,0.965
286,0.963
287,0.9625
288,0.9535
289,0.962
290,0.965
291,0.965
292,0.963
293,0.966
294,0.9675
295,0.9685
296,0.968
297,0.9505
298,0.9545
299,0.95
300,0.9485
301,0.9425
302,0.942
303,0.9435
304,0.945
305,0.943
306,0.945
307,0.942
308,0.942
309,0.943
310,0.9385
311,0.9395
312,0.9305
313,0.937
314,0.9375
315,0.941
316,0.941
317,0.937
318,0.934
319,0.9375
320,0.9365
321,0.9395
322,0.938
323,0.938
324,0.9375
325,0.936
326,0.935
327,0.94
328,0.938
329,0.94
330,0.94
331,0.939
332,0.9405
333,0.9395
334,0.9405
335,0.94
336,0.94
337,0.9435
338,0.9355
339,0.9395
340,0.9415
341,0.939
342,0.9345
343,0.945
344,0.9345
345,0.9435
346,0.938
347,0.937
348,0.94
349,0.9425
350,0.942
351,0.952
352,0.9535
353,0.95
354,0.958
355,0.952
356,0.948
357,0.95
358,0.948
359,0.9595
360,0.9475
361,0.9575
362,0.9535
363,0.955
364,0.956
365,0.958
366,0.9555
367,0.9555
368,0.958
369,0.9555
370,0.954
371,0.953
372,0.9575
373,0.9575
374,0.9575
375,0.9585
376,0.958
377,0.959
378,0.9595
379,0.959
380,0.9585
381,0.9605
382,0.961
383,0.941
384,0.942
385,0.942
386,0.943
387,0.943
388,0.9415
389,0.943
390,0.9445
391,0.944
392,0.9415
393,0.9435
394,0.941
395,0.955
396,0.955
397,0.9535
398,0.9555
399,0.936
400,0.946
401,0.9415
402,0.9425
403,0.94
404,0.9435
405,0.9435
406,0.945
407,0.941
408,0.941
409,0.9395
410,0.953
411,0.9545
412,0.9595
413,0.9635
414,0.953
415,0.9555
416,0.958
417,0.9535
418,0.953
419,0.954
420,0.951
421,0.9475
422,0.9555
423,0.9305
424,0.933
425,0.9315
426,0.925
427,0.9245
428,0.9215
429,0.926
430,0.923
431,0.924
432,0.925
433,0.926
434,0.9185
435,0.9205
436,0.9205
437,0.923
438,0.921
439,0.9165
440,0.914
441,0.9155
