num_removed,accuracy
0,0.958
1,0.957
2,0.957
3,0.957
4,0.959
5,0.959
6,0.961
7,0.961
8,0.9595
9,0.96
10,0.9595
11,0.9595
12,0.9595
13,0.9595
14,0.961
15,0.961
16,0.961
17,0.961
18,0.961
19,0.96
20,0.958
21,0.959
22,0.96
23,0.961
24,0.959
25,0.96
26,0.96
27,0.9595
28,0.9595
29,0.9595
30,0.9595
31,0.9585
32,0.96
33,0.9595
34,0.9595
35,0.9595
36,0.96
37,0.961
38,0.96
39,0.962
40,0.9595
41,0.96
42,0.959
43,0.9605
44,0.9605
45,0.9605
46,0.9605
47,0.96
48,0.961
49,0.961
50,0.9615
51,0.9615
52,0.9635
53,0.962
54,0.96
55,0.9605
56,0.9615
57,0.9605
58,0.961
59,0.961
60,0.9595
61,0.9595
62,0.96
63,0.96
64,0.96
65,0.9605
66,0.9625
67,0.961
68,0.961
69,0.9595
70,0.9615
71,0.96
72,0.9605
73,0.9605
74,0.9605
75,0.9605
76,0.9605
77,0.9585
78,0.959
79,0.9585
80,0.9585
81,0.9595
82,0.959
83,0.959
84,0.959
85,0.961
86,0.958
87,0.9585
88,0.9585
89,0.961
90,0.9585
91,0.9575
92,0.9585
93,0.96
94,0.9605
95,0.961
96,0.96
97,0.96
98,0.96
99,0.96
100,0.9605
101,0.9605
102,0.9605
103,0.9585
104,0.959
105,0.9605
106,0.9605
107,0.961
108,0.961
109,0.96
110,0.9595
111,0.959
112,0.9595
113,0.9595
114,0.9605
115,0.959
116,0.96
117,0.959
118,0.9575
119,0.9585
120,0.958
121,0.959
122,0.959
123,0.957
124,0.9565
125,0.9565
126,0.9565
127,0.958
128,0.957
129,0.957
130,0.957
131,0.9585
132,0.9555
133,0.9555
134,0.9545
135,0.957
136,0.9565
137,0.956
138,0.957
139,0.955
140,0.9575
141,0.9575
142,0.9575
143,0.9545
144,0.9545
145,0.9545
146,0.9545
147,0.9525
148,0.953
149,0.955
150,0.9535
151,0.954
152,0.954
153,0.956
154,0.9555
155,0.9565
156,0.9565
157,0.9565
158,0.9565
159,0.9565
160,0.9565
161,0.9555
162,0.9555
163,0.957
164,0.952
165,0.952
166,0.9555
167,0.956
168,0.955
169,0.954
170,0.9545
171,0.9545
172,0.9545
173,0.9545
174,0.9545
175,0.9545
176,0.9545
177,0.955
178,0.955
179,0.955
180,0.9535
181,0.9545
182,0.9565
183,0.958
184,0.9555
185,0.9555
186,0.9565
187,0.957
188,0.957
189,0.957
190,0.9585
191,0.9585
192,0.958
193,0.9565
194,0.958
195,0.9575
196,0.957
197,0.9575
198,0.9575
199,0.958
200,0.9585
201,0.9585
202,0.958
203,0.9585
204,0.9585
205,0.9575
206,0.9575
207,0.9585
208,0.958
209,0.9585
210,0.9575
211,0.9575
212,0.959
213,0.9595
214,0.957
215,0.957
216,0.9555
217,0.959
218,0.9585
219,0.961
220,0.9605
221,0.961
222,0.9605
223,0.958
224,0.9575
225,0.9575
226,0.958
227,0.959
228,0.9595
229,0.9585
230,0.96
231,0.9575
232,0.959
233,0.9585
234,0.9585
235,0.9585
236,0.9525
237,0.952
238,0.9535
239,0.9535
240,0.9545
241,0.9545
242,0.9545
243,0.9555
244,0.955
245,0.9555
246,0.9555
247,0.9545
248,0.9545
249,0.9555
250,0.955
251,0.9555
252,0.957
253,0.958
254,0.9535
255,0.9535
256,0.953
257,0.9535
258,0.9515
259,0.9515
260,0.953
261,0.953
262,0.9535
263,0.9535
264,0.9535
265,0.952
266,0.953
267,0.952
268,0.9525
269,0.9525
270,0.952
271,0.9505
272,0.9535
273,0.952
274,0.951
275,0.9475
276,0.948
277,0.951
278,0.951
279,0.9505
280,0.9485
281,0.9505
282,0.9505
283,0.9505
284,0.9495
285,0.9475
286,0.9485
287,0.947
288,0.943
289,0.948
290,0.949
291,0.947
292,0.9465
293,0.949
294,0.9485
295,0.95
296,0.9455
297,0.9385
298,0.9395
299,0.9375
300,0.9385
301,0.9395
302,0.938
303,0.938
304,0.9395
305,0.938
306,0.9355
307,0.9385
308,0.9395
309,0.9395
310,0.94
311,0.94
312,0.939
313,0.9375
314,0.9375
315,0.9375
316,0.9375
317,0.934
318,0.9325
319,0.9335
320,0.933
321,0.9295
322,0.935
323,0.9335
324,0.9335
325,0.933
326,0.9325
327,0.9315
328,0.932
329,0.933
330,0.933
331,0.9335
332,0.9335
333,0.934
334,0.9335
335,0.9285
336,0.928
337,0.94
338,0.938
339,0.9395
340,0.938
341,0.9385
342,0.937
343,0.94
344,0.937
345,0.9335
346,0.9335
347,0.9295
348,0.9325
349,0.9305
350,0.935
351,0.9325
352,0.9325
353,0.936
354,0.94
355,0.937
356,0.933
357,0.9365
358,0.9375
