num_removed,accuracy
0,0.9595
1,0.9615
2,0.962
3,0.9595
4,0.9595
5,0.959
6,0.9605
7,0.96
8,0.96
9,0.961
10,0.961
11,0.961
12,0.961
13,0.9585
14,0.9615
15,0.962
16,0.96
17,0.96
18,0.96
19,0.9595
20,0.9605
21,0.961
22,0.961
23,0.96
24,0.9605
25,0.961
26,0.9605
27,0.9605
28,0.9595
29,0.9575
30,0.9595
31,0.9565
32,0.9575
33,0.959
34,0.959
35,0.9575
36,0.9575
37,0.9575
38,0.958
39,0.957
40,0.958
41,0.957
42,0.957
43,0.956
44,0.9565
45,0.9565
46,0.9565
47,0.9555
48,0.9565
49,0.9575
50,0.9575
51,0.958
52,0.9575
53,0.9545
54,0.9545
55,0.957
56,0.955
57,0.958
58,0.9575
59,0.9565
60,0.9565
61,0.9555
62,0.9555
63,0.957
64,0.957
65,0.957
66,0.956
67,0.9565
68,0.9555
69,0.9545
70,0.956
71,0.9545
72,0.9545
73,0.954
74,0.954
75,0.954
76,0.954
77,0.9535
78,0.954
79,0.954
80,0.9535
81,0.953
82,0.9505
83,0.9515
84,0.954
85,0.953
86,0.951
87,0.951
88,0.9525
89,0.9525
90,0.9525
91,0.948
92,0.949
93,0.949
94,0.949
95,0.949
96,0.948
97,0.9495
98,0.948
99,0.948
100,0.948
101,0.948
102,0.9475
103,0.9475
104,0.949
105,0.946
106,0.9455
107,0.9455
108,0.9485
109,0.9485
110,0.95
111,0.9495
112,0.9485
113,0.949
114,0.9485
115,0.949
116,0.9495
117,0.9495
118,0.9465
119,0.9465
120,0.95
121,0.95
122,0.9495
123,0.9505
124,0.95
125,0.949
126,0.9505
127,0.9505
128,0.949
129,0.949
130,0.949
131,0.949
132,0.949
133,0.9495
134,0.9495
135,0.951
136,0.949
137,0.949
138,0.95
139,0.95
140,0.9495
141,0.9495
142,0.952
143,0.951
144,0.9505
145,0.951
146,0.9505
147,0.945
148,0.951
149,0.944
150,0.945
151,0.949
152,0.9495
153,0.9495
154,0.9505
155,0.949
156,0.9485
157,0.9495
158,0.95
159,0.949
160,0.949
161,0.9485
162,0.95
163,0.949
164,0.949
165,0.9485
166,0.9475
167,0.946
168,0.946
169,0.95
170,0.951
171,0.9455
172,0.947
173,0.947
174,0.948
175,0.9425
176,0.946
177,0.9485
178,0.948
179,0.9475
180,0.9475
181,0.9475
182,0.948
183,0.937
184,0.9405
185,0.9305
186,0.9465
187,0.9335
188,0.946
189,0.938
190,0.938
191,0.945
192,0.948
193,0.923
194,0.9225
195,0.922
196,0.917
197,0.922
198,0.914
199,0.918
200,0.909
201,0.9335
202,0.93
203,0.927
204,0.9355
205,0.912
206,0.924
207,0.9175
208,0.9305
209,0.9375
210,0.937
211,0.934
212,0.9365
213,0.938
214,0.936
215,0.936
216,0.935
217,0.9295
218,0.9285
219,0.9285
220,0.932
221,0.934
222,0.9305
223,0.9305
224,0.9295
225,0.9295
226,0.9345
227,0.9345
228,0.9315
229,0.9325
230,0.9325
231,0.9305
232,0.9285
233,0.925
234,0.92
235,0.9225
236,0.917
237,0.9145
238,0.9115
239,0.914
240,0.92
241,0.912
242,0.9105
243,0.9145
244,0.91
245,0.9045
246,0.8995
247,0.911
248,0.903
249,0.8925
250,0.86
251,0.863
252,0.8625
253,0.8645
254,0.874
255,0.8675
256,0.8505
257,0.847
258,0.852
259,0.819
260,0.818
261,0.825
262,0.8485
263,0.849
264,0.849
265,0.849
266,0.8445
267,0.8395
268,0.847
269,0.839
270,0.846
271,0.8475
272,0.8435
273,0.84
274,0.8465
275,0.845
276,0.8435
277,0.8475
278,0.8495
279,0.847
280,0.8495
281,0.846
282,0.8485
283,0.848
284,0.8485
285,0.8485
286,0.849
287,0.849
288,0.8475
289,0.8495
290,0.848
291,0.849
292,0.848
293,0.8445
294,0.8475
295,0.849
296,0.8455
297,0.8415
298,0.8455
299,0.8455
300,0.8475
301,0.845
302,0.8495
303,0.848
304,0.8415
305,0.846
306,0.844
307,0.844
308,0.8375
309,0.8375
310,0.8365
311,0.8365
312,0.8325
313,0.833
314,0.833
315,0.8345
316,0.8325
317,0.839
318,0.8365
319,0.838
320,0.8405
321,0.835
322,0.8375
323,0.8365
324,0.8375
325,0.8405
326,0.841
327,0.841
328,0.839
329,0.838
330,0.8375
331,0.837
332,0.8385
333,0.837
334,0.836
335,0.839
336,0.8385
337,0.8385
338,0.844
339,0.846
340,0.8455
341,0.8375
342,0.8395
343,0.839
344,0.839
345,0.8435
346,0.8425
347,0.845
348,0.8375
349,0.839
350,0.8405
351,0.839
352,0.8395
353,0.8405
354,0.8395
355,0.841
356,0.8475
357,0.851
358,0.851
359,0.849
360,0.841
361,0.8415
362,0.8495
363,0.842
364,0.8465
365,0.8495
366,0.8625
367,0.8615
368,0.864
369,0.865
370,0.8625
371,0.8635
372,0.8675
373,0.8595
374,0.8655
375,0.8635
376,0.87
377,0.869
378,0.8365
379,0.843
380,0.8335
381,0.8325
382,0.835
383,0.836
384,0.825
385,0.825
386,0.825
387,0.838
388,0.837
389,0.828
390,0.8275
391,0.8435
392,0.8335
393,0.83
394,0.833
395,0.8285
396,0.8305
397,0.8265
398,0.845
399,0.8245
400,0.8385
401,0.8235
402,0.8375
403,0.819
404,0.8255
405,0.8285
406,0.823
407,0.8275
408,0.8305
409,0.845
410,0.8335
411,0.8255
412,0.803
413,0.8255
414,0.7485
415,0.679
416,0.6975
417,0.5505
418,0.58
419,0.5805
420,0.5195
421,0.504
422,0.485
423,0.4815
424,0.4815
425,0.4825
426,0.4815
427,0.482
428,0.482
429,0.4795
430,0.481
431,0.4825
432,0.48
433,0.483
434,0.4815
435,0.4795
436,0.48
437,0.481
438,0.4815
439,0.481
440,0.483
441,0.4815
442,0.481
443,0.4805
444,0.4805
445,0.479
446,0.4865
447,0.4855
448,0.486
449,0.4845
450,0.485
451,0.485
452,0.482
453,0.4815
454,0.482
455,0.482
456,0.4805
457,0.4805
458,0.48
459,0.4845
460,0.484
461,0.48
462,0.479
463,0.48
464,0.484
465,0.4845
466,0.484
467,0.4845
468,0.4845
469,0.485
470,0.4845
471,0.4855
472,0.485
473,0.485
474,0.486
475,0.481
476,0.48
477,0.4785
478,0.4805
479,0.481
480,0.4855
481,0.486
482,0.4885
483,0.495
484,0.4935
485,0.484
486,0.4775
487,0.481
488,0.4815
489,0.481
490,0.481
491,0.481
492,0.481
493,0.481
494,0.481
495,0.481
496,0.519
497,0.519
498,0.519
499,0.519
