num_removed,accuracy
0,0.9595
1,0.959
2,0.9605
3,0.962
4,0.962
5,0.962
6,0.9615
7,0.963
8,0.962
9,0.963
10,0.963
11,0.9625
12,0.9625
13,0.963
14,0.962
15,0.962
16,0.962
17,0.962
18,0.961
19,0.96
20,0.959
21,0.959
22,0.9615
23,0.963
24,0.9625
25,0.964
26,0.9605
27,0.961
28,0.961
29,0.961
30,0.961
31,0.96
32,0.96
33,0.9625
34,0.962
35,0.9625
36,0.963
37,0.9615
38,0.962
39,0.961
40,0.961
41,0.9625
42,0.9615
43,0.962
44,0.962
45,0.9625
46,0.9625
47,0.9625
48,0.962
49,0.9625
50,0.9625
51,0.9635
52,0.963
53,0.963
54,0.963
55,0.9625
56,0.9625
57,0.9625
58,0.9615
59,0.9625
60,0.961
61,0.9615
62,0.9615
63,0.9615
64,0.962
65,0.9625
66,0.962
67,0.962
68,0.9615
69,0.9615
70,0.961
71,0.9625
72,0.9625
73,0.962
74,0.962
75,0.962
76,0.9625
77,0.9625
78,0.9615
79,0.9615
80,0.9595
81,0.9615
82,0.9605
83,0.9605
84,0.959
85,0.9605
86,0.9575
87,0.958
88,0.9575
89,0.9585
90,0.9585
91,0.9595
92,0.957
93,0.96
94,0.959
95,0.96
96,0.96
97,0.96
98,0.957
99,0.9585
100,0.9585
101,0.957
102,0.957
103,0.957
104,0.9585
105,0.9585
106,0.959
107,0.958
108,0.958
109,0.959
110,0.957
111,0.9595
112,0.958
113,0.958
114,0.957
115,0.957
116,0.9565
117,0.958
118,0.959
119,0.959
120,0.958
121,0.9575
122,0.9575
123,0.959
124,0.959
125,0.96
126,0.9595
127,0.9595
128,0.9595
129,0.9585
130,0.9585
131,0.9585
132,0.958
133,0.958
134,0.9575
135,0.957
136,0.957
137,0.957
138,0.96
139,0.9605
140,0.959
141,0.958
142,0.9595
143,0.9585
144,0.958
145,0.959
146,0.958
147,0.959
148,0.9595
149,0.9595
150,0.959
151,0.958
152,0.957
153,0.958
154,0.9585
155,0.954
156,0.954
157,0.953
158,0.953
159,0.95
160,0.9525
161,0.95
162,0.9525
163,0.9495
164,0.952
165,0.9485
166,0.95
167,0.9535
168,0.953
169,0.949
170,0.9495
171,0.947
172,0.951
173,0.9505
174,0.9505
175,0.9525
176,0.9525
177,0.949
178,0.948
179,0.954
180,0.956
181,0.9545
182,0.955
183,0.9555
184,0.9545
185,0.9545
186,0.953
187,0.9545
188,0.9545
189,0.9525
190,0.954
191,0.9545
192,0.9545
193,0.9555
194,0.9535
195,0.952
196,0.951
197,0.951
198,0.951
199,0.952
200,0.9515
201,0.952
202,0.9515
203,0.951
204,0.951
205,0.952
206,0.954
207,0.9515
208,0.9515
209,0.952
210,0.953
211,0.955
212,0.9525
213,0.9535
214,0.954
215,0.9535
216,0.953
217,0.9515
218,0.9525
219,0.952
220,0.953
221,0.9515
222,0.9515
223,0.951
224,0.951
225,0.9505
226,0.951
227,0.9505
228,0.952
229,0.9515
230,0.952
231,0.9505
232,0.9505
233,0.9515
234,0.949
235,0.949
236,0.951
237,0.9515
238,0.9525
239,0.952
240,0.9525
241,0.9525
242,0.951
243,0.952
244,0.951
245,0.9485
246,0.952
247,0.952
248,0.9485
249,0.9505
250,0.9495
251,0.947
252,0.9505
253,0.9505
254,0.9515
255,0.951
256,0.951
257,0.9515
258,0.9485
259,0.9495
260,0.9495
261,0.951
262,0.951
263,0.9505
264,0.9525
265,0.949
266,0.953
267,0.952
268,0.951
269,0.9525
270,0.9505
271,0.951
272,0.952
273,0.9505
274,0.9495
275,0.95
276,0.9525
277,0.949
278,0.9505
279,0.9505
280,0.952
281,0.95
282,0.95
283,0.9515
284,0.9515
285,0.9505
286,0.9505
287,0.9485
288,0.9505
289,0.951
290,0.9505
291,0.95
292,0.951
293,0.9495
294,0.9495
295,0.95
296,0.949
297,0.9495
298,0.9495
299,0.9505
300,0.9505
301,0.9505
302,0.951
303,0.949
304,0.9515
305,0.951
306,0.9455
307,0.946
308,0.9475
309,0.9475
310,0.947
311,0.9485
312,0.9485
313,0.9485
314,0.948
315,0.947
316,0.948
317,0.9485
318,0.9475
319,0.9495
320,0.9495
321,0.95
322,0.948
323,0.948
324,0.948
325,0.9455
326,0.948
327,0.946
328,0.932
329,0.938
330,0.9365
331,0.931
332,0.934
333,0.935
334,0.9365
335,0.934
336,0.9325
337,0.942
338,0.933
339,0.935
340,0.936
341,0.9335
342,0.9365
343,0.9365
344,0.9405
345,0.9355
346,0.9355
347,0.936
348,0.9295
349,0.9275
350,0.9275
351,0.924
352,0.921
353,0.924
354,0.9255
355,0.926
356,0.928
357,0.928
358,0.929
359,0.926
360,0.9255
361,0.922
362,0.9245
363,0.9245
364,0.9255
365,0.925
366,0.925
367,0.923
368,0.9285
369,0.93
370,0.923
371,0.9215
372,0.9205
373,0.921
374,0.9185
375,0.921
376,0.92
377,0.913
378,0.917
379,0.9205
380,0.9125
381,0.9205
382,0.909
383,0.9205
384,0.9225
385,0.913
386,0.918
387,0.917
388,0.9055
389,0.9095
390,0.886
391,0.881
392,0.885
393,0.8845
394,0.882
395,0.873
396,0.8745
397,0.862
398,0.863
399,0.87
400,0.855
401,0.8645
402,0.8825
403,0.862
404,0.8615
405,0.8565
406,0.8485
407,0.847
408,0.8435
409,0.85
410,0.848
411,0.826
412,0.833
413,0.84
414,0.837
415,0.8465
416,0.85
417,0.8455
418,0.8395
419,0.841
420,0.83
421,0.832
422,0.836
423,0.8365
424,0.8205
425,0.786
426,0.7715
427,0.757
428,0.7695
429,0.7455
430,0.7635
431,0.748
432,0.7695
433,0.7675
434,0.782
435,0.7685
436,0.7945
437,0.7855
438,0.773
439,0.7715
440,0.776
441,0.7685
442,0.781
443,0.791
444,0.77
445,0.786
446,0.781
447,0.7675
448,0.764
449,0.7665
450,0.7425
451,0.752
452,0.7415
453,0.6735
454,0.642
455,0.657
456,0.6885
457,0.686
458,0.709
459,0.7
460,0.7035
461,0.6975
462,0.741
463,0.762
464,0.6905
465,0.678
466,0.72
467,0.6835
468,0.676
469,0.7135
470,0.7315
471,0.6455
472,0.661
473,0.6565
474,0.5855
475,0.589
476,0.546
477,0.5475
478,0.4805
479,0.381
480,0.407
481,0.4075
482,0.3605
483,0.5185
484,0.4845
485,0.47
486,0.4785
487,0.4145
488,0.4655
489,0.481
490,0.481
491,0.481
492,0.481
493,0.481
494,0.481
495,0.481
496,0.481
497,0.481
498,0.481
499,0.481
