num_removed,accuracy
0,0.9595
1,0.96
2,0.9605
3,0.96
4,0.96
5,0.96
6,0.9595
7,0.959
8,0.959
9,0.9585
10,0.9615
11,0.9615
12,0.96
13,0.96
14,0.9605
15,0.9605
16,0.9635
17,0.9635
18,0.9615
19,0.9645
20,0.9645
21,0.9655
22,0.9645
23,0.9645
24,0.964
25,0.964
26,0.9635
27,0.9635
28,0.964
29,0.964
30,0.9645
31,0.964
32,0.963
33,0.964
34,0.962
35,0.964
36,0.9655
37,0.9655
38,0.9655
39,0.962
40,0.962
41,0.962
42,0.962
43,0.962
44,0.964
45,0.9625
46,0.9625
47,0.964
48,0.9605
49,0.962
50,0.9605
51,0.9605
52,0.962
53,0.962
54,0.962
55,0.9635
56,0.9615
57,0.9615
58,0.964
59,0.963
60,0.962
61,0.962
62,0.9625
63,0.963
64,0.963
65,0.9635
66,0.961
67,0.964
68,0.9635
69,0.9605
70,0.963
71,0.963
72,0.961
73,0.9625
74,0.962
75,0.9625
76,0.962
77,0.962
78,0.962
79,0.962
80,0.962
81,0.9615
82,0.9615
83,0.9615
84,0.9615
85,0.9615
86,0.963
87,0.96
88,0.961
89,0.961
90,0.9615
91,0.9605
92,0.9615
93,0.9615
94,0.9615
95,0.9615
96,0.9615
97,0.9605
98,0.9625
99,0.9625
100,0.9615
101,0.962
102,0.962
103,0.962
104,0.962
105,0.962
106,0.962
107,0.961
108,0.9615
109,0.9605
110,0.963
111,0.963
112,0.9645
113,0.9635
114,0.9635
115,0.9635
116,0.9635
117,0.962
118,0.962
119,0.9615
120,0.962
121,0.96
122,0.961
123,0.961
124,0.965
125,0.962
126,0.962
127,0.9645
128,0.965
129,0.9655
130,0.9655
131,0.965
132,0.967
133,0.9665
134,0.9635
135,0.966
136,0.9655
137,0.9655
138,0.9655
139,0.966
140,0.9665
141,0.9665
142,0.967
143,0.9655
144,0.967
145,0.967
146,0.9655
147,0.967
148,0.9665
149,0.9655
150,0.9675
151,0.9675
152,0.966
153,0.966
154,0.966
155,0.9655
156,0.9665
157,0.965
158,0.965
159,0.967
160,0.967
161,0.9675
162,0.9675
163,0.9655
164,0.9675
165,0.9645
166,0.9645
167,0.9675
168,0.9665
169,0.9645
170,0.9655
171,0.9665
172,0.9655
173,0.964
174,0.964
175,0.964
176,0.964
177,0.9645
178,0.964
179,0.964
180,0.964
181,0.9645
182,0.9645
183,0.964
184,0.963
185,0.963
186,0.963
187,0.963
188,0.9635
189,0.968
190,0.9625
191,0.967
192,0.969
193,0.97
194,0.97
195,0.9625
196,0.965
197,0.9635
198,0.963
