num_removed,accuracy
0,0.628
1,0.6285
2,0.6285
3,0.6145
4,0.621
5,0.6115
6,0.609
7,0.6175
8,0.619
9,0.622
10,0.6125
11,0.6215
12,0.624
13,0.6185
14,0.6155
15,0.6145
16,0.6105
17,0.616
18,0.612
19,0.606
20,0.607
21,0.6095
22,0.609
23,0.602
24,0.608
25,0.595
26,0.5945
27,0.5955
28,0.595
29,0.594
30,0.5985
31,0.5945
32,0.6
33,0.5945
34,0.5935
35,0.592
36,0.588
37,0.5815
38,0.5855
39,0.593
40,0.591
41,0.5895
42,0.588
43,0.586
44,0.589
45,0.5875
46,0.5845
47,0.575
48,0.59
49,0.5835
50,0.5835
51,0.584
52,0.581
53,0.5795
54,0.577
55,0.581
56,0.574
57,0.577
58,0.583
59,0.5825
60,0.586
61,0.5815
62,0.569
63,0.5745
64,0.5715
65,0.5685
66,0.57
67,0.565
68,0.5635
69,0.567
70,0.5655
71,0.57
72,0.57
73,0.5695
74,0.566
75,0.5665
76,0.5675
77,0.563
78,0.559
79,0.564
80,0.57
81,0.5665
82,0.573
83,0.561
84,0.567
85,0.553
86,0.5545
87,0.556
88,0.5555
89,0.5525
90,0.5565
91,0.547
92,0.5425
93,0.5445
94,0.547
95,0.5535
96,0.5385
97,0.549
98,0.5485
99,0.541
100,0.5485
101,0.5525
102,0.5455
103,0.5525
104,0.5455
105,0.5465
106,0.553
107,0.544
108,0.543
109,0.5425
110,0.5405
111,0.5455
112,0.549
113,0.5395
114,0.5395
115,0.542
116,0.5365
117,0.542
118,0.5405
119,0.541
120,0.5455
121,0.543
122,0.547
123,0.5395
124,0.543
125,0.5365
126,0.5375
127,0.539
128,0.538
129,0.533
130,0.5405
131,0.5445
132,0.5365
133,0.539
134,0.537
135,0.5455
136,0.5375
137,0.5355
138,0.5395
139,0.5385
140,0.533
141,0.532
142,0.5415
143,0.5305
144,0.5235
145,0.53
146,0.53
147,0.5275
148,0.5255
149,0.5305
150,0.528
151,0.5265
152,0.5295
153,0.5225
154,0.5305
155,0.5295
156,0.5325
157,0.5235
158,0.5295
159,0.5235
160,0.523
161,0.519
162,0.5235
163,0.5295
164,0.521
