num_removed,accuracy
0,0.628
1,0.6275
2,0.634
3,0.63
4,0.6315
5,0.624
6,0.627
7,0.6225
8,0.623
9,0.6255
10,0.6225
11,0.624
12,0.635
13,0.6165
14,0.622
15,0.621
16,0.62
17,0.6275
18,0.6235
19,0.617
20,0.6195
21,0.6275
22,0.62
23,0.619
24,0.608
25,0.6125
26,0.6135
27,0.612
28,0.616
29,0.614
30,0.6115
31,0.6165
32,0.616
33,0.6165
34,0.6095
35,0.6125
36,0.612
37,0.6125
38,0.614
39,0.6175
40,0.605
41,0.6085
42,0.6155
43,0.6165
44,0.6205
45,0.617
46,0.6135
47,0.6155
48,0.614
49,0.6175
50,0.6175
51,0.616
52,0.621
53,0.617
54,0.622
55,0.62
56,0.619
57,0.6145
58,0.615
59,0.6175
60,0.62
61,0.6135
62,0.6235
63,0.61
64,0.6165
65,0.613
66,0.6115
67,0.615
68,0.606
69,0.612
70,0.615
71,0.613
72,0.6065
73,0.61
74,0.607
75,0.614
76,0.612
77,0.6095
78,0.613
79,0.6145
80,0.61
81,0.6075
82,0.612
83,0.6095
84,0.611
85,0.6055
86,0.6125
87,0.61
88,0.604
89,0.6
90,0.609
91,0.609
92,0.605
93,0.598
94,0.6095
95,0.6035
96,0.6075
97,0.6045
98,0.6075
99,0.6005
100,0.608
101,0.605
102,0.6055
103,0.611
104,0.616
105,0.61
106,0.608
107,0.6025
108,0.6075
109,0.609
110,0.6105
111,0.6075
112,0.6105
113,0.6025
114,0.605
115,0.608
116,0.605
117,0.61
118,0.595
119,0.5985
120,0.597
121,0.5925
122,0.591
123,0.586
124,0.586
125,0.5905
126,0.5965
127,0.5945
128,0.5865
129,0.591
130,0.585
131,0.5895
132,0.589
133,0.5845
134,0.5905
135,0.575
136,0.569
137,0.573
138,0.5765
139,0.57
140,0.5765
141,0.576
142,0.5725
143,0.574
144,0.572
145,0.573
146,0.5685
147,0.572
148,0.571
149,0.569
150,0.571
151,0.568
152,0.5735
153,0.5695
154,0.569
155,0.5715
156,0.5655
157,0.5635
158,0.575
159,0.5745
160,0.566
161,0.5685
162,0.5725
163,0.566
164,0.573
165,0.5725
166,0.572
167,0.5665
168,0.5605
169,0.561
170,0.558
171,0.555
172,0.5525
173,0.557
174,0.5565
175,0.5565
176,0.558
177,0.556
178,0.553
179,0.5545
180,0.548
181,0.555
182,0.5565
183,0.555
184,0.5585
185,0.549
186,0.5525
187,0.551
188,0.5485
189,0.5455
190,0.5455
191,0.541
192,0.5495
193,0.546
194,0.5415
195,0.547
196,0.5515
197,0.552
198,0.5435
199,0.5475
200,0.5505
201,0.5435
202,0.546
203,0.5475
204,0.5475
205,0.5485
206,0.551
207,0.5535
208,0.5625
209,0.5565
210,0.555
211,0.5565
212,0.5525
213,0.55
214,0.556
215,0.553
216,0.542
217,0.5475
218,0.551
219,0.5565
220,0.5525
221,0.5495
222,0.5475
223,0.547
224,0.549
225,0.549
226,0.552
227,0.558
228,0.552
229,0.549
230,0.5495
231,0.544
232,0.55
233,0.549
234,0.5525
235,0.5515
236,0.5545
237,0.5495
238,0.5515
239,0.56
240,0.5695
241,0.5515
242,0.548
243,0.549
244,0.55
245,0.549
246,0.552
247,0.5505
248,0.55
249,0.551
250,0.548
251,0.5575
252,0.561
253,0.5625
254,0.5685
255,0.565
256,0.568
257,0.559
258,0.554
259,0.5505
260,0.5605
261,0.5505
262,0.5485
263,0.5505
264,0.5455
265,0.5545
266,0.5535
267,0.548
268,0.548
269,0.5455
270,0.5455
271,0.5425
272,0.5465
273,0.5615
274,0.551
275,0.548
276,0.554
277,0.554
278,0.549
279,0.555
280,0.5565
281,0.554
282,0.55
283,0.56
284,0.567
285,0.5665
286,0.56
287,0.563
288,0.565
289,0.565
290,0.563
291,0.57
292,0.56
293,0.56
294,0.566
295,0.568
296,0.562
297,0.5625
298,0.5625
299,0.5535
300,0.5535
301,0.5585
302,0.5555
303,0.5515
304,0.55
305,0.5615
306,0.5555
307,0.5625
308,0.551
309,0.5475
310,0.5545
311,0.5445
312,0.5375
313,0.5405
314,0.5515
315,0.5445
316,0.528
317,0.517
318,0.5185
319,0.5195
320,0.523
321,0.52
322,0.5045
323,0.505
324,0.508
325,0.5
326,0.4975
327,0.487
328,0.483
329,0.4895
330,0.4765
331,0.4885
332,0.497
333,0.4845
334,0.488
335,0.4925
336,0.4825
337,0.485
338,0.4715
339,0.4865
340,0.4865
341,0.4875
342,0.476
343,0.494
344,0.488
345,0.483
346,0.453
347,0.46
348,0.45
349,0.445
350,0.444
351,0.44
352,0.4465
353,0.438
354,0.4465
355,0.4455
356,0.435
357,0.434
358,0.4335
359,0.4265
360,0.432
361,0.4285
362,0.429
363,0.4315
364,0.42
365,0.4185
366,0.4205
367,0.4105
368,0.4115
369,0.3995
370,0.3925
371,0.3885
372,0.3905
373,0.381
374,0.375
375,0.3665
376,0.367
377,0.3655
378,0.3705
379,0.3625
380,0.365
381,0.37
382,0.362
383,0.3565
384,0.363
385,0.3595
386,0.3555
387,0.3425
388,0.3495
389,0.339
390,0.353
391,0.337
392,0.3345
393,0.3255
394,0.326
395,0.331
396,0.323
397,0.3095
398,0.3335
399,0.314
400,0.314
401,0.3155
402,0.314
403,0.316
404,0.318
405,0.3065
406,0.3025
407,0.299
408,0.299
409,0.291
410,0.291
411,0.29
412,0.297
413,0.308
414,0.297
415,0.294
416,0.2965
417,0.297
418,0.3095
419,0.3005
420,0.317
421,0.3165
422,0.3065
423,0.306
424,0.309
425,0.2895
426,0.299
427,0.2895
428,0.282
429,0.288
430,0.2925
431,0.287
432,0.2775
433,0.2745
434,0.2685
435,0.27
436,0.2775
437,0.282
438,0.275
439,0.2895
440,0.276
441,0.281
442,0.2635
443,0.2485
444,0.2405
445,0.26
446,0.265
447,0.2415
448,0.22
449,0.236
450,0.242
451,0.2445
452,0.2365
453,0.231
454,0.204
455,0.1775
456,0.181
457,0.175
458,0.175
459,0.17
460,0.196
461,0.1965
462,0.201
463,0.2015
464,0.1995
465,0.1935
466,0.2055
467,0.2025
468,0.178
469,0.1805
470,0.185
471,0.192
472,0.179
473,0.163
474,0.159
475,0.1735
476,0.169
477,0.184
478,0.1825
479,0.1815
480,0.163
481,0.1755
482,0.1585
483,0.161
484,0.1455
485,0.144
486,0.158
487,0.1405
488,0.126
489,0.102
490,0.102
491,0.102
492,0.102
493,0.102
494,0.102
495,0.102
496,0.102
497,0.0985
498,0.102
499,0.102
