num_removed,accuracy
0,0.6155
1,0.608
2,0.61
3,0.611
4,0.6
5,0.6085
6,0.6005
7,0.5985
8,0.5995
9,0.603
10,0.603
11,0.5995
12,0.6025
13,0.61
14,0.608
15,0.6055
16,0.598
17,0.6035
18,0.6075
19,0.6085
20,0.6065
21,0.6055
22,0.6025
23,0.601
24,0.6065
25,0.5985
26,0.598
27,0.6
28,0.5975
29,0.6025
30,0.6
31,0.5975
32,0.5965
33,0.6015
34,0.593
35,0.598
36,0.5955
37,0.594
38,0.593
39,0.606
40,0.594
41,0.5965
42,0.592
43,0.595
44,0.5935
45,0.598
46,0.585
47,0.591
48,0.596
49,0.5945
50,0.591
51,0.589
52,0.5895
53,0.592
54,0.583
55,0.588
56,0.583
57,0.594
58,0.5845
59,0.5825
60,0.5855
61,0.5825
62,0.583
63,0.582
64,0.589
65,0.5875
66,0.5855
67,0.5825
68,0.579
69,0.59
70,0.5805
71,0.586
72,0.5845
73,0.589
74,0.5785
75,0.586
76,0.5805
77,0.58
78,0.576
79,0.5855
80,0.574
81,0.571
82,0.5805
83,0.5765
84,0.568
85,0.569
86,0.5785
87,0.576
88,0.5775
89,0.581
90,0.5765
91,0.5795
92,0.5755
93,0.5785
94,0.572
95,0.575
96,0.5785
97,0.569
98,0.5725
99,0.57
100,0.5675
101,0.562
102,0.5635
103,0.565
104,0.562
105,0.5635
106,0.5675
107,0.5635
108,0.5695
109,0.565
110,0.571
111,0.5625
112,0.563
113,0.5645
114,0.569
115,0.563
116,0.5605
117,0.564
118,0.5605
119,0.562
120,0.5645
121,0.569
122,0.569
123,0.5715
124,0.5675
125,0.5675
126,0.565
127,0.5675
128,0.5775
129,0.5725
130,0.5675
131,0.562
132,0.559
133,0.5595
134,0.563
135,0.566
136,0.5675
137,0.561
138,0.571
139,0.5715
140,0.5685
141,0.5695
142,0.5775
143,0.569
144,0.5775
145,0.5665
146,0.5625
147,0.5715
148,0.5675
149,0.5595
150,0.565
151,0.5535
152,0.552
153,0.5495
154,0.5505
155,0.548
156,0.5495
157,0.545
158,0.547
159,0.5525
160,0.5525
161,0.558
162,0.553
163,0.5475
164,0.552
165,0.5535
166,0.552
167,0.5465
168,0.5525
169,0.5485
170,0.551
171,0.5355
172,0.5405
173,0.543
174,0.5435
175,0.542
176,0.5425
177,0.5445
178,0.5435
179,0.5415
180,0.54
181,0.5385
182,0.5405
183,0.5325
184,0.5345
185,0.5335
186,0.5235
187,0.52
188,0.5355
189,0.5355
190,0.525
191,0.532
192,0.522
193,0.518
194,0.5195
195,0.524
196,0.518
197,0.524
198,0.524
199,0.533
200,0.5125
201,0.5205
202,0.5235
203,0.525
204,0.528
205,0.5185
206,0.516
207,0.5165
208,0.514
209,0.517
210,0.517
211,0.5115
212,0.507
213,0.5115
214,0.51
215,0.516
216,0.5085
217,0.514
218,0.5105
219,0.5105
220,0.5115
221,0.507
222,0.5085
223,0.5035
224,0.5015
225,0.5055
226,0.5075
227,0.5065
228,0.5085
229,0.5195
230,0.5055
231,0.5055
232,0.504
233,0.51
234,0.5145
235,0.5035
236,0.5065
237,0.502
238,0.4935
239,0.4975
240,0.495
241,0.4965
242,0.5015
243,0.4915
244,0.4955
245,0.488
246,0.495
247,0.481
248,0.499
249,0.49
250,0.4875
251,0.4865
252,0.4855
253,0.475
254,0.4795
255,0.479
256,0.477
257,0.4765
258,0.4765
259,0.4655
260,0.457
261,0.466
262,0.4565
