num_removed,accuracy
0,0.63
1,0.632
2,0.6315
3,0.6355
4,0.6375
5,0.634
6,0.6345
7,0.6295
8,0.634
9,0.632
10,0.628
11,0.635
12,0.633
13,0.635
14,0.627
15,0.634
16,0.636
17,0.621
18,0.6355
19,0.633
20,0.6305
21,0.631
22,0.627
23,0.6255
24,0.625
25,0.6235
26,0.632
27,0.628
28,0.6305
29,0.6255
30,0.622
31,0.6305
32,0.6255
33,0.631
34,0.625
35,0.6155
36,0.621
37,0.618
38,0.6125
39,0.609
40,0.614
41,0.6085
42,0.6185
43,0.6095
44,0.612
45,0.6185
46,0.622
47,0.619
48,0.608
49,0.618
50,0.6145
51,0.6115
52,0.6105
53,0.616
54,0.613
55,0.614
56,0.6135
57,0.618
58,0.613
59,0.6125
60,0.6125
61,0.611
62,0.608
63,0.6125
64,0.6065
65,0.607
66,0.6075
67,0.6035
68,0.6065
69,0.6065
70,0.613
71,0.5995
72,0.6035
73,0.61
74,0.6005
75,0.605
76,0.605
77,0.6085
78,0.6015
79,0.609
80,0.6055
81,0.6095
82,0.604
83,0.613
84,0.6075
85,0.6105
86,0.609
87,0.612
88,0.6045
89,0.6085
90,0.609
91,0.608
92,0.6065
93,0.609
94,0.602
95,0.601
96,0.603
97,0.611
98,0.605
99,0.602
100,0.6095
101,0.6015
102,0.6
103,0.607
104,0.6115
105,0.606
106,0.609
107,0.6045
108,0.608
109,0.611
110,0.609
111,0.612
112,0.6095
113,0.611
114,0.6175
115,0.6125
116,0.6145
117,0.618
118,0.619
119,0.625
120,0.6165
121,0.618
122,0.622
123,0.6245
124,0.614
125,0.614
126,0.616
127,0.6155
128,0.618
129,0.616
130,0.613
131,0.6145
132,0.62
133,0.613
134,0.6155
135,0.6105
136,0.6135
137,0.608
138,0.612
139,0.613
140,0.6025
141,0.6105
142,0.613
143,0.6135
144,0.61
145,0.6115
146,0.6045
147,0.6085
148,0.6005
149,0.6115
150,0.6045
151,0.607
152,0.611
153,0.607
154,0.6105
155,0.614
156,0.6105
157,0.5975
158,0.604
159,0.606
160,0.61
161,0.6015
162,0.608
163,0.602
164,0.6065
165,0.6075
166,0.5895
167,0.5935
168,0.597
169,0.5905
170,0.5935
171,0.6005
172,0.5945
173,0.595
174,0.598
175,0.6005
176,0.606
177,0.607
178,0.605
179,0.606
180,0.6185
181,0.6115
182,0.614
183,0.607
184,0.6
185,0.606
186,0.6065
187,0.606
188,0.603
189,0.612
190,0.5985
191,0.6065
192,0.6085
193,0.6075
194,0.6065
195,0.598
196,0.6125
197,0.612
198,0.6005
199,0.604
200,0.606
201,0.595
202,0.6035
203,0.5985
204,0.6115
205,0.607
206,0.5975
207,0.598
208,0.6015
209,0.587
210,0.5975
211,0.5935
212,0.593
213,0.601
214,0.597
215,0.5865
216,0.596
217,0.5975
218,0.5895
219,0.5885
220,0.5935
221,0.5975
222,0.593
223,0.5985
224,0.5935
225,0.6
226,0.5965
227,0.599
228,0.604
229,0.605
230,0.6055
231,0.603
232,0.598
233,0.593
234,0.596
235,0.5955
236,0.5815
237,0.584
238,0.594
239,0.595
240,0.591
241,0.594
242,0.595
243,0.5885
244,0.5935
245,0.5955
246,0.597
247,0.6025
248,0.587
249,0.5895
250,0.5905
251,0.5865
252,0.5855
253,0.5835
254,0.5925
255,0.585
256,0.5875
257,0.582
258,0.5725
259,0.5805
260,0.5775
261,0.5695
262,0.58
263,0.572
264,0.5785
265,0.5815
266,0.572
267,0.5765
268,0.578
269,0.5855
270,0.5685
271,0.571
272,0.568
273,0.5665
274,0.576
275,0.569
276,0.564
277,0.5715
278,0.561
279,0.5575
280,0.566
281,0.5545
282,0.5625
283,0.5555
284,0.5595
285,0.5615
286,0.5565
287,0.558
288,0.56
289,0.561
290,0.568
291,0.5645
292,0.5695
293,0.566
294,0.565
295,0.5555
296,0.5545
297,0.5565
298,0.5565
299,0.5725
300,0.555
301,0.556
