num_removed,accuracy
0,0.638
1,0.642
2,0.6475
3,0.6445
4,0.6495
5,0.6465
6,0.644
7,0.649
8,0.6475
9,0.641
10,0.6415
11,0.6385
12,0.6335
13,0.6375
14,0.6375
15,0.6475
16,0.643
17,0.643
18,0.6395
19,0.642
20,0.6355
21,0.6385
22,0.6355
23,0.6345
24,0.649
25,0.643
26,0.644
27,0.6445
28,0.642
29,0.6385
30,0.6475
31,0.647
32,0.645
33,0.6415
34,0.646
35,0.643
36,0.649
37,0.653
38,0.648
39,0.6485
40,0.6385
41,0.6405
42,0.646
43,0.648
44,0.6445
45,0.6485
46,0.647
47,0.6495
48,0.645
49,0.648
50,0.6475
51,0.637
52,0.6405
53,0.6455
54,0.6425
55,0.6455
56,0.647
57,0.6425
58,0.65
59,0.646
60,0.6465
61,0.6435
62,0.6475
63,0.651
64,0.651
65,0.6475
66,0.654
67,0.6515
68,0.641
69,0.637
70,0.631
71,0.638
72,0.637
73,0.637
74,0.6385
75,0.6335
76,0.637
77,0.6315
78,0.6405
79,0.6325
80,0.6335
81,0.6355
82,0.6375
83,0.6325
84,0.637
85,0.6315
86,0.6325
87,0.63
88,0.629
89,0.6315
90,0.633
91,0.628
92,0.6375
93,0.6295
94,0.6335
95,0.632
96,0.627
97,0.6345
98,0.631
99,0.63
100,0.6345
101,0.631
102,0.6265
103,0.6205
104,0.6255
105,0.6245
106,0.6265
107,0.6325
108,0.6275
109,0.6365
110,0.631
111,0.625
112,0.6305
113,0.622
114,0.6215
115,0.619
116,0.615
117,0.627
118,0.6155
119,0.6145
120,0.6175
121,0.614
122,0.609
123,0.614
124,0.6085
125,0.6075
126,0.612
127,0.6175
128,0.613
129,0.617
130,0.61
131,0.6105
132,0.615
133,0.611
134,0.617
135,0.6195
136,0.6155
137,0.614
138,0.611
139,0.606
140,0.6045
141,0.607
142,0.611
143,0.61
144,0.6075
145,0.606
146,0.6095
147,0.6145
148,0.611
149,0.62
150,0.616
151,0.6185
152,0.6185
153,0.607
154,0.619
155,0.61
156,0.614
157,0.6195
158,0.623
159,0.632
160,0.6285
161,0.621
162,0.621
163,0.6245
164,0.6175
165,0.621
166,0.6145
167,0.6195
168,0.6155
169,0.613
170,0.6195
171,0.6195
172,0.611
173,0.6115
174,0.6165
175,0.6115
176,0.6125
177,0.6055
178,0.6065
179,0.6035
180,0.6055
181,0.607
182,0.6025
183,0.615
184,0.6105
185,0.6105
186,0.603
187,0.606
188,0.598
189,0.5945
190,0.6025
191,0.599
192,0.5965
193,0.5955
194,0.599
195,0.59
196,0.6015
197,0.596
198,0.598
199,0.595
200,0.593
201,0.589
202,0.595
203,0.58
204,0.582
205,0.582
206,0.5905
207,0.5825
208,0.582
209,0.588
210,0.5905
211,0.584
212,0.5805
213,0.5825
214,0.581
215,0.582
216,0.5795
217,0.572
218,0.5785
219,0.576
220,0.5695
221,0.5755
222,0.571
223,0.58
224,0.5675
225,0.5645
226,0.575
227,0.5735
228,0.576
229,0.57
230,0.5645
231,0.57
232,0.5625
233,0.566
234,0.564
235,0.562
236,0.561
237,0.556
238,0.567
239,0.558
240,0.562
241,0.5635
242,0.558
243,0.549
244,0.551
245,0.5435
246,0.5475
247,0.543
248,0.539
249,0.5335
250,0.536
251,0.5345
252,0.538
253,0.5415
254,0.5335
255,0.5335
256,0.5335
257,0.5375
258,0.529
259,0.5345
260,0.541
261,0.539
262,0.539
263,0.5385
264,0.543
265,0.5345
266,0.5235
267,0.5255
268,0.5235
269,0.522
270,0.5265
271,0.526
272,0.524
273,0.5195
274,0.527
275,0.5145
276,0.5145
277,0.518
278,0.521
279,0.5205
280,0.516
281,0.517
282,0.5095
283,0.5115
284,0.52
285,0.518
286,0.52
287,0.5175
288,0.5165
289,0.51
290,0.51
291,0.512
292,0.5085
293,0.5085
294,0.511
295,0.508
296,0.501
297,0.5015
298,0.498
299,0.5065
300,0.5035
301,0.5125
302,0.505
303,0.5095
304,0.508
305,0.497
306,0.4975
307,0.497
308,0.497
309,0.4965
310,0.4935
311,0.497
312,0.4905
313,0.4885
314,0.494
315,0.493
316,0.49
317,0.488
318,0.4925
319,0.4825
320,0.486
321,0.485
322,0.4915
323,0.4955
324,0.4945
325,0.4985
326,0.493
327,0.489
328,0.4925
329,0.495
330,0.4905
331,0.492
332,0.4905
333,0.483
334,0.4915
335,0.4905
336,0.4955
337,0.5005
338,0.495
339,0.496
340,0.4935
341,0.4925
342,0.491
343,0.4855
344,0.482
345,0.492
346,0.4785
347,0.4735
348,0.4775
349,0.471
350,0.4685
351,0.4675
352,0.473
353,0.4695
354,0.4635
355,0.467
356,0.458
357,0.476
358,0.4705
359,0.461
360,0.4625
361,0.455
362,0.4685
363,0.4705
364,0.4685
365,0.464
366,0.469
367,0.473
368,0.467
369,0.4735
370,0.466
371,0.467
372,0.473
373,0.466
374,0.4705
375,0.462
376,0.45
377,0.454
378,0.4565
379,0.4675
380,0.4605
381,0.4615
382,0.463
383,0.463
384,0.458
385,0.453
386,0.452
387,0.459
388,0.448
389,0.4375
390,0.4165
391,0.412
392,0.407
393,0.4135
394,0.3915
395,0.39
396,0.399
397,0.392
398,0.396
399,0.3845
400,0.388
401,0.3995
402,0.407
403,0.401
404,0.3875
405,0.387
406,0.3885
407,0.3875
408,0.389
409,0.3895
410,0.386
411,0.388
412,0.389
413,0.4005
414,0.395
415,0.4075
416,0.403
417,0.4015
418,0.3955
419,0.4025
420,0.3965
421,0.399
422,0.3955
