num_removed,accuracy
0,0.638
1,0.6435
2,0.6465
3,0.6425
4,0.642
5,0.637
6,0.639
7,0.637
8,0.6385
9,0.6385
10,0.6385
11,0.6455
12,0.6285
13,0.6325
14,0.636
15,0.6375
16,0.634
17,0.6305
18,0.628
19,0.6275
20,0.6265
21,0.623
22,0.625
23,0.63
24,0.6275
25,0.6225
26,0.6195
27,0.6245
28,0.6225
29,0.6215
30,0.624
31,0.616
32,0.624
33,0.6235
34,0.6205
35,0.6245
36,0.615
37,0.62
38,0.613
39,0.6195
40,0.621
41,0.625
42,0.616
43,0.6185
44,0.6145
45,0.616
46,0.6235
47,0.6165
48,0.6145
49,0.613
50,0.611
51,0.606
52,0.6115
53,0.6075
54,0.615
55,0.605
56,0.618
57,0.618
58,0.612
59,0.6155
60,0.612
61,0.606
62,0.618
63,0.605
64,0.6145
65,0.611
66,0.613
67,0.6135
68,0.613
69,0.6145
70,0.6105
71,0.6055
72,0.617
73,0.6075
74,0.609
75,0.607
76,0.602
77,0.6025
78,0.606
79,0.6015
80,0.6115
81,0.605
82,0.6045
83,0.5985
84,0.6035
85,0.604
86,0.6015
87,0.602
88,0.6025
89,0.601
90,0.6035
91,0.5985
92,0.594
93,0.5985
94,0.6065
95,0.598
96,0.6065
97,0.604
98,0.601
99,0.601
100,0.602
101,0.596
102,0.5975
103,0.608
104,0.6035
105,0.5895
106,0.5925
107,0.588
108,0.589
109,0.5975
110,0.59
111,0.588
112,0.5855
113,0.601
114,0.5885
115,0.5955
116,0.591
117,0.586
118,0.5875
119,0.5965
120,0.5965
121,0.5755
122,0.592
123,0.569
124,0.5645
125,0.5665
126,0.5745
127,0.5755
128,0.562
129,0.5565
130,0.5575
131,0.5635
132,0.5555
133,0.558
134,0.557
135,0.553
136,0.5615
137,0.5575
138,0.5545
139,0.5525
140,0.548
141,0.545
142,0.556
143,0.554
144,0.547
145,0.5485
146,0.5435
147,0.5405
148,0.552
149,0.5425
150,0.543
151,0.54
152,0.539
153,0.533
154,0.535
155,0.534
156,0.5395
157,0.528
158,0.5315
159,0.5325
160,0.531
161,0.533
162,0.5265
163,0.52
164,0.5255
165,0.5245
166,0.5295
167,0.527
168,0.5265
169,0.5305
170,0.5245
171,0.522
172,0.5215
173,0.527
174,0.5315
175,0.5205
176,0.522
177,0.516
178,0.5225
179,0.517
180,0.5175
181,0.521
182,0.529
183,0.5245
184,0.5285
185,0.5235
186,0.527
187,0.526
188,0.525
189,0.5145
190,0.5205
191,0.5195
192,0.515
193,0.5115
194,0.5185
195,0.5195
196,0.5145
197,0.514
198,0.5115
199,0.5075
200,0.506
201,0.5045
202,0.513
203,0.5175
204,0.508
205,0.505
206,0.5065
207,0.4965
208,0.5035
209,0.495
210,0.488
211,0.4985
212,0.491
213,0.4845
214,0.4905
215,0.4755
216,0.4835
217,0.4755
218,0.484
219,0.4715
220,0.4745
221,0.48
222,0.4675
223,0.4635
224,0.463
225,0.4695
226,0.466
227,0.4685
228,0.4745
229,0.4705
230,0.4635
231,0.4725
232,0.4575
233,0.4625
234,0.4605
235,0.4635
236,0.4645
237,0.462
238,0.4635
239,0.4565
240,0.462
241,0.453
242,0.46
243,0.4655
244,0.463
245,0.466
246,0.4675
247,0.4655
248,0.4675
249,0.466
250,0.4685
251,0.473
252,0.469
253,0.4675
254,0.4685
255,0.471
256,0.4665
257,0.4525
258,0.466
259,0.4615
260,0.4475
261,0.4585
262,0.447
263,0.4465
264,0.4535
265,0.454
266,0.454
267,0.4505
268,0.44
269,0.4475
270,0.4505
271,0.443
272,0.444
273,0.4305
274,0.4295
275,0.4135
276,0.4055
277,0.4125
278,0.4145
279,0.416
280,0.419
281,0.4155
282,0.411
283,0.4075
284,0.4085
285,0.3995
286,0.421
287,0.41
288,0.398
289,0.412
290,0.415
291,0.417
292,0.415
293,0.411
294,0.4135
295,0.4225
296,0.41
297,0.4125
298,0.414
299,0.4225
300,0.4095
301,0.415
302,0.414
303,0.4165
304,0.417
305,0.4185
306,0.428
307,0.4265
308,0.433
309,0.4215
310,0.4215
311,0.426
312,0.416
313,0.412
314,0.42
