num_removed,accuracy
0,0.8015
1,0.8055
2,0.803
3,0.802
4,0.802
5,0.7935
6,0.8005
7,0.8005
8,0.803
9,0.8035
10,0.799
11,0.797
12,0.7985
13,0.8025
14,0.8025
15,0.8005
16,0.8015
17,0.8
18,0.8
19,0.8
20,0.8015
21,0.802
22,0.797
23,0.8
24,0.805
25,0.8045
26,0.803
27,0.803
28,0.803
29,0.8
30,0.799
31,0.803
32,0.7995
33,0.805
34,0.8005
35,0.806
36,0.7995
37,0.802
38,0.802
39,0.803
40,0.8015
41,0.7975
42,0.7995
43,0.7945
44,0.7895
45,0.798
46,0.7885
47,0.7965
48,0.7955
49,0.8035
50,0.792
51,0.799
52,0.7985
53,0.799
54,0.799
55,0.799
56,0.8025
57,0.8025
58,0.8025
59,0.8015
60,0.8015
61,0.8015
62,0.7905
63,0.799
64,0.803
65,0.803
66,0.805
67,0.799
68,0.8015
69,0.801
70,0.7955
71,0.8
72,0.8005
73,0.8055
74,0.793
75,0.8015
76,0.801
77,0.8015
78,0.8015
79,0.8015
80,0.8015
81,0.8005
82,0.801
83,0.799
84,0.7985
85,0.8005
86,0.801
87,0.7985
88,0.802
89,0.8025
90,0.8005
91,0.8005
92,0.799
93,0.7955
94,0.7955
95,0.797
96,0.792
97,0.793
98,0.7895
99,0.791
100,0.791
101,0.789
102,0.793
103,0.799
104,0.7955
105,0.793
106,0.795
107,0.7985
108,0.7975
109,0.7985
110,0.7985
111,0.7925
112,0.7935
113,0.7945
114,0.7955
115,0.795
116,0.794
117,0.7945
118,0.7955
119,0.7925
120,0.7945
121,0.7955
122,0.799
123,0.8005
124,0.794
125,0.797
126,0.7975
127,0.802
128,0.805
129,0.801
130,0.7985
131,0.7955
132,0.798
133,0.796
134,0.8
135,0.797
136,0.8005
137,0.797
138,0.795
139,0.796
140,0.797
141,0.797
142,0.7945
143,0.792
144,0.8005
145,0.798
146,0.7985
147,0.7965
148,0.7955
149,0.7965
150,0.7975
151,0.791
152,0.7925
153,0.794
154,0.8
155,0.7995
156,0.7975
157,0.799
158,0.794
159,0.798
160,0.795
161,0.79
162,0.794
163,0.7935
164,0.7925
165,0.8005
166,0.7965
167,0.7965
168,0.7965
169,0.798
170,0.7975
171,0.7965
172,0.7985
173,0.799
174,0.7955
175,0.794
176,0.7965
177,0.795
178,0.7975
179,0.795
180,0.7945
181,0.7925
182,0.792
183,0.7925
184,0.7945
185,0.7935
186,0.7995
187,0.799
188,0.797
189,0.7975
190,0.7995
191,0.797
192,0.7975
193,0.7995
194,0.7975
195,0.7955
196,0.7955
197,0.8
198,0.799
199,0.797
200,0.798
201,0.799
202,0.7965
203,0.795
204,0.795
205,0.7955
206,0.7975
207,0.791
208,0.795
209,0.7925
210,0.7905
211,0.7935
212,0.7925
213,0.7885
214,0.7965
215,0.8025
216,0.799
217,0.799
218,0.7945
219,0.799
220,0.7925
221,0.7955
222,0.801
223,0.796
224,0.8015
225,0.8
226,0.8
227,0.798
228,0.8005
229,0.7995
230,0.7955
231,0.795
232,0.7975
233,0.8005
234,0.796
235,0.7955
236,0.796
237,0.796
238,0.794
239,0.795
240,0.794
241,0.794
242,0.798
243,0.8
244,0.798
245,0.7965
246,0.791
247,0.7965
248,0.7965
249,0.7945
250,0.7995
251,0.7905
252,0.7945
253,0.792
254,0.7965
255,0.7905
256,0.791
257,0.7915
258,0.7875
259,0.7915
260,0.7865
261,0.7865
262,0.791
263,0.787
264,0.791
265,0.7915
266,0.788
267,0.781
268,0.781
269,0.7815
270,0.784
271,0.784
272,0.785
273,0.794
274,0.7905
275,0.787
276,0.7865
277,0.7855
278,0.784
279,0.783
280,0.7855
281,0.7875
282,0.7835
283,0.79
284,0.786
285,0.784
286,0.785
287,0.785
288,0.7855
289,0.781
290,0.7805
291,0.7915
292,0.7895
293,0.786
294,0.7855
295,0.7865
296,0.7845
297,0.7895
298,0.787
299,0.7885
300,0.788
301,0.7885
302,0.79
303,0.7885
304,0.788
305,0.789
306,0.782
307,0.786
308,0.7865
309,0.785
310,0.785
311,0.782
312,0.786
313,0.782
314,0.7825
315,0.7835
316,0.7835
317,0.7835
318,0.786
319,0.7895
320,0.7925
321,0.7895
322,0.7925
323,0.7925
324,0.792
325,0.783
326,0.787
327,0.7875
328,0.785
329,0.785
330,0.7785
331,0.7805
332,0.7885
333,0.7845
334,0.784
335,0.7805
336,0.784
337,0.7825
338,0.7785
339,0.7885
340,0.779
341,0.7865
342,0.7905
343,0.7865
344,0.7905
345,0.7895
346,0.784
347,0.7835
348,0.784
349,0.7815
350,0.792
351,0.788
352,0.786
353,0.788
354,0.7875
355,0.7865
356,0.7885
357,0.788
358,0.782
359,0.787
360,0.7925
361,0.78
362,0.781
363,0.7845
364,0.7795
365,0.7825
366,0.7825
367,0.7825
368,0.7825
369,0.784
370,0.788
371,0.78
372,0.7705
373,0.7775
374,0.779
375,0.7705
376,0.772
377,0.7755
378,0.769
379,0.771
380,0.772
381,0.7665
382,0.7655
383,0.7645
384,0.7705
385,0.77
386,0.768
387,0.7715
388,0.771
389,0.771
390,0.7685
391,0.7685
392,0.772
393,0.771
394,0.764
395,0.7735
396,0.7745
397,0.769
398,0.7615
399,0.768
400,0.767
401,0.764
402,0.763
403,0.7685
404,0.7675
405,0.767
406,0.769
407,0.772
408,0.772
409,0.7725
410,0.772
411,0.7745
412,0.7685
413,0.7795
414,0.773
415,0.7775
416,0.7775
417,0.774
418,0.773
419,0.775
420,0.777
421,0.774
422,0.7745
423,0.777
424,0.785
425,0.775
426,0.7755
427,0.7735
428,0.7745
429,0.774
430,0.7845
431,0.784
432,0.7875
433,0.785
434,0.7855
435,0.79
436,0.788
437,0.7825
438,0.791
439,0.774
440,0.7635
441,0.772
442,0.771
443,0.7735
444,0.768
445,0.758
446,0.754
447,0.754
448,0.7535
449,0.7635
450,0.7545
451,0.763
452,0.7415
453,0.7475
454,0.7415
455,0.7425
456,0.7715
457,0.7305
458,0.7555
459,0.7555
460,0.759
461,0.759
462,0.7585
463,0.755
464,0.7535
465,0.7505
466,0.7515
467,0.7445
468,0.7505
469,0.7505
470,0.7525
471,0.7515
472,0.752
473,0.7515
474,0.7515
475,0.75
476,0.7535
477,0.7565
478,0.753
479,0.7535
480,0.7555
481,0.7555
482,0.7555
483,0.7555
484,0.7305
485,0.7305
486,0.7375
487,0.7375
488,0.737
489,0.7065
490,0.7065
491,0.7065
492,0.7065
493,0.7065
494,0.7065
495,0.7065
496,0.7065
497,0.7065
498,0.7065
499,0.7065
