num_removed,accuracy
0,0.797
1,0.7965
2,0.7955
3,0.794
4,0.797
5,0.7975
6,0.7985
7,0.802
8,0.8005
9,0.8035
10,0.801
11,0.799
12,0.798
13,0.805
14,0.7925
15,0.8015
16,0.7965
17,0.7945
18,0.802
19,0.804
20,0.7995
21,0.805
22,0.809
23,0.8065
24,0.807
25,0.7995
26,0.807
27,0.8075
28,0.8115
29,0.8095
30,0.805
31,0.807
32,0.8105
33,0.8125
34,0.808
35,0.802
36,0.8075
37,0.8045
38,0.8045
39,0.812
40,0.8085
41,0.809
42,0.807
43,0.8125
44,0.8075
45,0.8085
46,0.8085
47,0.8
48,0.8065
49,0.8145
50,0.8045
51,0.8045
52,0.802
53,0.801
54,0.8035
55,0.8095
56,0.8075
57,0.812
58,0.81
59,0.804
60,0.804
61,0.8015
62,0.799
63,0.7995
64,0.8035
65,0.8005
66,0.8005
67,0.8035
68,0.8
69,0.8015
70,0.798
71,0.7965
72,0.7975
73,0.8005
74,0.8015
75,0.797
76,0.8
77,0.7975
78,0.7995
79,0.7995
80,0.8
81,0.797
82,0.7995
83,0.801
84,0.798
85,0.7985
86,0.803
87,0.803
88,0.7965
89,0.798
90,0.7975
91,0.796
92,0.7915
93,0.7895
94,0.7925
95,0.784
96,0.792
97,0.793
98,0.7925
99,0.794
100,0.7845
101,0.8
102,0.8
103,0.8
104,0.796
105,0.796
106,0.798
107,0.794
108,0.7925
109,0.7945
110,0.7945
111,0.791
112,0.796
113,0.7975
114,0.801
115,0.8005
116,0.802
117,0.8055
118,0.8035
119,0.8055
120,0.802
121,0.796
122,0.8025
123,0.7935
124,0.7755
125,0.7755
126,0.7755
127,0.776
128,0.7955
129,0.8055
130,0.803
131,0.804
132,0.804
133,0.804
134,0.804
135,0.8055
136,0.803
137,0.796
138,0.806
139,0.806
140,0.8035
141,0.7965
142,0.798
143,0.8035
144,0.802
145,0.796
146,0.795
147,0.7965
148,0.7965
149,0.8005
150,0.7985
151,0.8025
152,0.7945
153,0.7945
154,0.79
155,0.787
156,0.785
157,0.7885
158,0.786
159,0.786
160,0.787
161,0.7885
162,0.798
163,0.7875
164,0.788
165,0.7925
166,0.7925
167,0.7885
168,0.788
169,0.789
170,0.789
171,0.792
172,0.794
173,0.785
174,0.787
175,0.794
176,0.788
177,0.786
178,0.7855
179,0.7815
180,0.781
181,0.7825
182,0.787
183,0.786
184,0.786
185,0.7835
186,0.7875
187,0.787
188,0.786
189,0.7875
190,0.7865
191,0.785
192,0.7825
193,0.7795
194,0.7845
195,0.7855
196,0.783
197,0.783
198,0.7855
199,0.7825
200,0.78
201,0.7825
202,0.782
203,0.784
204,0.784
205,0.7815
206,0.783
207,0.786
208,0.7865
209,0.785
210,0.7845
211,0.785
212,0.7845
213,0.783
214,0.7895
215,0.783
216,0.786
217,0.7845
218,0.7795
219,0.7815
220,0.779
221,0.778
222,0.779
223,0.7815
224,0.7785
225,0.7785
226,0.7815
227,0.78
228,0.7775
229,0.7815
230,0.7755
231,0.7775
232,0.7775
233,0.7755
234,0.78
235,0.78
236,0.7795
237,0.778
238,0.7795
239,0.7755
240,0.778
241,0.7785
242,0.7825
243,0.782
244,0.782
245,0.7825
246,0.7815
247,0.7815
248,0.7815
249,0.777
250,0.785
251,0.785
252,0.78
253,0.7795
254,0.7795
255,0.7785
256,0.7785
257,0.7815
258,0.777
259,0.778
260,0.775
261,0.7805
262,0.782
263,0.782
264,0.778
265,0.779
266,0.784
267,0.784
268,0.778
269,0.776
270,0.7795
271,0.7795
272,0.778
273,0.773
274,0.773
275,0.773
276,0.776
277,0.7745
278,0.7755
279,0.775
280,0.773
281,0.773
282,0.7755
283,0.7705
284,0.775
285,0.775
286,0.7735
287,0.774
288,0.777
289,0.777
290,0.777
291,0.773
292,0.7735
293,0.771
294,0.77
295,0.773
296,0.775
297,0.773
298,0.771
299,0.7715
300,0.771
301,0.7735
302,0.774
303,0.7735
304,0.7715
305,0.7725
306,0.7745
307,0.7735
308,0.7725
309,0.7725
310,0.7755
311,0.775
312,0.774
313,0.7785
314,0.774
315,0.7725
316,0.772
317,0.775
318,0.775
319,0.775
320,0.7755
321,0.7785
322,0.772
323,0.7725
324,0.7725
325,0.7725
326,0.773
327,0.7735
328,0.769
329,0.776
330,0.7725
331,0.7725
332,0.7725
333,0.773
334,0.7725
335,0.772
336,0.772
337,0.772
338,0.7715
339,0.7725
340,0.772
341,0.771
342,0.767
343,0.772
344,0.7685
345,0.7705
346,0.7685
347,0.7665
348,0.7645
349,0.7655
350,0.768
351,0.768
352,0.7695
353,0.77
354,0.769
355,0.7705
356,0.7685
357,0.771
358,0.772
359,0.7715
360,0.7715
361,0.7675
362,0.7725
363,0.7695
364,0.7655
365,0.7505
366,0.7625
367,0.7525
368,0.772
369,0.77
370,0.754
371,0.748
372,0.764
373,0.7695
374,0.735
375,0.7375
376,0.747
377,0.748
378,0.745
379,0.7525
380,0.7465
381,0.7475
382,0.75
383,0.766
384,0.7545
385,0.7325
386,0.739
387,0.737
388,0.7355
389,0.727
390,0.737
391,0.7195
392,0.7195
393,0.7255
394,0.724
395,0.6525
396,0.661
397,0.654
398,0.6605
399,0.651
400,0.6645
401,0.6575
402,0.665
403,0.6555
404,0.6805
405,0.686
406,0.6675
407,0.654
408,0.654
409,0.646
410,0.609
411,0.581
412,0.4815
413,0.3535
414,0.321
415,0.2975
416,0.295
417,0.295
418,0.295
419,0.295
420,0.295
421,0.295
422,0.295
423,0.295
424,0.295
425,0.295
426,0.295
427,0.295
428,0.295
429,0.295
430,0.295
431,0.295
432,0.295
433,0.2945
434,0.295
435,0.295
436,0.2935
437,0.2935
438,0.2935
439,0.2935
440,0.295
441,0.295
442,0.295
443,0.295
444,0.295
445,0.295
446,0.295
447,0.295
448,0.295
449,0.295
450,0.295
451,0.295
452,0.2945
453,0.294
454,0.2945
455,0.2945
456,0.2945
457,0.2945
458,0.2945
459,0.2945
460,0.2945
461,0.2945
462,0.2945
463,0.2945
464,0.294
465,0.3045
466,0.305
467,0.315
468,0.315
469,0.315
470,0.31
471,0.323
472,0.327
473,0.289
474,0.289
475,0.289
476,0.318
477,0.3305
478,0.3325
479,0.3375
480,0.343
481,0.3625
482,0.394
483,0.2915
484,0.2915
485,0.291
486,0.2855
487,0.242
488,0.2935
489,0.2935
490,0.2935
491,0.2935
492,0.2935
493,0.2935
494,0.2935
495,0.2935
496,0.2935
497,0.2935
498,0.2935
499,0.2935
