num_removed,accuracy
0,0.804
1,0.807
2,0.8025
3,0.8085
4,0.8085
5,0.805
6,0.813
7,0.8065
8,0.8095
9,0.8095
10,0.8135
11,0.808
12,0.8055
13,0.8095
14,0.8045
15,0.806
16,0.804
17,0.81
18,0.807
19,0.798
20,0.8065
21,0.8045
22,0.8095
23,0.8005
24,0.799
25,0.8045
26,0.798
27,0.7995
28,0.8015
29,0.8075
30,0.8085
31,0.8025
32,0.8055
33,0.803
34,0.813
35,0.811
36,0.811
37,0.811
38,0.814
39,0.814
40,0.814
41,0.809
42,0.812
43,0.8095
44,0.807
45,0.808
46,0.802
47,0.8095
48,0.803
49,0.8035
50,0.8035
51,0.8085
52,0.806
53,0.81
54,0.81
55,0.8075
56,0.811
57,0.8095
58,0.811
59,0.8135
60,0.811
61,0.8135
62,0.8055
63,0.8115
64,0.8115
65,0.8105
66,0.8085
67,0.81
68,0.8105
69,0.809
70,0.8125
71,0.811
72,0.8015
73,0.8055
74,0.809
75,0.809
76,0.8055
77,0.796
78,0.8015
79,0.802
80,0.802
81,0.8015
82,0.801
83,0.8045
84,0.8005
85,0.8
86,0.8025
87,0.804
88,0.801
89,0.8035
90,0.7975
91,0.7975
92,0.803
93,0.8055
94,0.807
95,0.8085
96,0.803
97,0.8025
98,0.8015
99,0.8035
100,0.8015
101,0.8035
102,0.8045
103,0.8065
104,0.8025
105,0.8015
106,0.7965
107,0.8035
108,0.8055
109,0.804
110,0.801
111,0.803
112,0.7935
113,0.796
114,0.8015
115,0.799
116,0.802
117,0.803
118,0.801
119,0.8065
120,0.802
121,0.803
122,0.8065
123,0.8095
124,0.7995
125,0.8055
126,0.7995
127,0.8015
128,0.8025
129,0.8015
130,0.804
131,0.8025
132,0.807
133,0.8025
134,0.8075
135,0.803
136,0.7905
137,0.797
138,0.7995
139,0.794
140,0.798
141,0.8025
142,0.8
143,0.8
144,0.7895
145,0.7945
146,0.802
147,0.789
148,0.803
149,0.7995
150,0.7905
151,0.781
152,0.7795
153,0.785
154,0.7815
155,0.787
156,0.786
157,0.7725
158,0.7785
159,0.7945
160,0.783
161,0.783
162,0.7785
163,0.782
164,0.7825
165,0.7755
166,0.788
167,0.781
168,0.786
169,0.7845
170,0.7835
171,0.789
172,0.7845
173,0.776
174,0.7795
175,0.778
176,0.7715
177,0.7735
178,0.7765
179,0.7775
180,0.7825
181,0.7935
182,0.7925
183,0.791
184,0.7885
185,0.794
186,0.7855
187,0.797
188,0.791
189,0.792
190,0.7945
191,0.7945
192,0.7935
193,0.7935
194,0.797
195,0.7975
196,0.7935
197,0.8
198,0.799
199,0.7975
200,0.792
201,0.794
202,0.796
203,0.797
204,0.792
205,0.7915
206,0.7955
207,0.798
208,0.7955
209,0.7915
210,0.797
211,0.797
212,0.803
213,0.7995
214,0.8
215,0.8
216,0.7975
217,0.7965
218,0.802
219,0.804
220,0.8045
221,0.804
222,0.801
223,0.7975
224,0.796
225,0.7985
226,0.8035
227,0.795
228,0.7985
229,0.799
230,0.792
231,0.7985
232,0.7965
233,0.796
234,0.7935
235,0.7915
236,0.796
237,0.7935
238,0.7915
239,0.7905
240,0.79
241,0.7895
242,0.791
243,0.794
244,0.789
245,0.7925
246,0.791
247,0.7875
248,0.791
249,0.789
250,0.7895
251,0.7895
252,0.784
253,0.785
254,0.7885
255,0.7855
256,0.794
257,0.7835
258,0.7895
259,0.786
260,0.7875
261,0.791
262,0.7855
263,0.788
264,0.788
265,0.7865
266,0.784
267,0.791
268,0.7835
269,0.7895
270,0.7825
271,0.7805
272,0.7805
273,0.7835
274,0.782
275,0.7795
276,0.788
277,0.784
278,0.784
279,0.783
280,0.782
281,0.787
282,0.7835
283,0.7855
284,0.786
285,0.784
286,0.7845
287,0.7885
288,0.788
289,0.7845
290,0.7955
291,0.791
292,0.7965
293,0.7975
294,0.791
295,0.7945
296,0.7935
297,0.7915
298,0.7955
299,0.7945
300,0.7945
301,0.7995
302,0.794
303,0.7965
304,0.794
305,0.793
306,0.795
307,0.792
308,0.803
309,0.802
310,0.8005
311,0.801
312,0.8015
313,0.803
314,0.8045
315,0.8055
316,0.8005
317,0.801
318,0.8045
319,0.8015
320,0.799
321,0.798
322,0.8045
323,0.801
324,0.801
325,0.797
326,0.7875
327,0.7985
328,0.798
329,0.7955
330,0.798
331,0.8
332,0.7915
333,0.78
334,0.7845
335,0.781
336,0.78
337,0.78
338,0.781
339,0.778
340,0.7795
341,0.779
342,0.778
343,0.781
344,0.779
345,0.778
346,0.7765
347,0.7765
348,0.778
349,0.7745
350,0.7775
351,0.772
352,0.7755
353,0.772
354,0.7695
355,0.772
356,0.7705
357,0.7675
358,0.7685
359,0.7695
360,0.768
361,0.776
362,0.7705
363,0.773
364,0.761
365,0.7655
366,0.762
367,0.7675
368,0.761
369,0.764
370,0.767
371,0.7645
372,0.764
373,0.764
374,0.7635
375,0.7675
376,0.7585
377,0.7615
378,0.7615
379,0.756
380,0.757
381,0.7605
382,0.7605
383,0.759
384,0.7615
385,0.7595
386,0.755
387,0.7595
388,0.7605
389,0.764
390,0.755
391,0.762
392,0.765
393,0.771
394,0.769
395,0.764
396,0.765
397,0.7605
398,0.7665
399,0.767
400,0.7755
401,0.775
402,0.774
403,0.776
404,0.776
405,0.7725
406,0.77
407,0.77
408,0.778
409,0.7705
410,0.77
411,0.7705
412,0.773
413,0.7685
414,0.7705
415,0.769
416,0.773
417,0.7645
418,0.7645
419,0.765
420,0.767
421,0.769
422,0.768
423,0.771
424,0.77
425,0.764
426,0.767
427,0.762
428,0.756
429,0.7635
430,0.7585
431,0.759
432,0.77
433,0.754
434,0.7685
435,0.7685
436,0.769
437,0.765
438,0.768
439,0.762
440,0.7415
441,0.7425
442,0.759
443,0.7615
444,0.7595
445,0.735
446,0.7345
447,0.7355
448,0.733
449,0.722
450,0.7175
451,0.717
452,0.711
453,0.7115
454,0.711
455,0.7135
456,0.7195
457,0.7205
458,0.7175
459,0.72
460,0.719
461,0.7205
462,0.7175
463,0.7195
464,0.718
465,0.7165
466,0.7165
467,0.72
468,0.712
469,0.7155
470,0.714
471,0.7135
472,0.7135
473,0.7165
474,0.716
475,0.7145
476,0.709
477,0.711
478,0.711
479,0.7115
480,0.7105
481,0.7105
482,0.707
483,0.707
484,0.7055
485,0.7055
486,0.7055
487,0.708
488,0.7065
489,0.7065
490,0.7065
491,0.7065
492,0.7065
493,0.7065
494,0.7065
495,0.7065
496,0.7065
497,0.7065
498,0.7065
499,0.7065
