num_removed,accuracy
0,0.804
1,0.8065
2,0.8095
3,0.805
4,0.8095
5,0.81
6,0.81
7,0.8105
8,0.8085
9,0.811
10,0.809
11,0.8085
12,0.809
13,0.809
14,0.8045
15,0.806
16,0.8045
17,0.8105
18,0.8105
19,0.81
20,0.809
21,0.806
22,0.8085
23,0.8075
24,0.804
25,0.8085
26,0.8085
27,0.8105
28,0.807
29,0.807
30,0.811
31,0.8095
32,0.8095
33,0.8005
34,0.8085
35,0.8015
36,0.8075
37,0.809
38,0.802
39,0.805
40,0.8075
41,0.803
42,0.803
43,0.803
44,0.805
45,0.801
46,0.798
47,0.7965
48,0.7975
49,0.7985
50,0.7985
51,0.7965
52,0.7965
53,0.797
54,0.796
55,0.799
56,0.7975
57,0.7935
58,0.8005
59,0.7945
60,0.795
61,0.795
62,0.7995
63,0.7955
64,0.796
65,0.7985
66,0.803
67,0.798
68,0.7975
69,0.791
70,0.791
71,0.792
72,0.7975
73,0.8
74,0.793
75,0.7955
76,0.7995
77,0.793
78,0.7855
79,0.7925
80,0.788
81,0.7975
82,0.7935
83,0.793
84,0.796
85,0.7825
86,0.7835
87,0.7835
88,0.7885
89,0.7825
90,0.783
91,0.788
92,0.79
93,0.7845
94,0.784
95,0.783
96,0.784
97,0.7835
98,0.7815
99,0.782
100,0.7885
101,0.785
102,0.782
103,0.7845
104,0.7905
105,0.7865
106,0.785
107,0.785
108,0.782
109,0.7805
110,0.783
111,0.789
112,0.7885
113,0.792
114,0.783
115,0.7875
116,0.791
117,0.7835
118,0.7845
119,0.7795
120,0.778
121,0.7835
122,0.7865
123,0.7815
124,0.775
125,0.7775
126,0.7785
127,0.7785
128,0.7695
129,0.7735
130,0.7725
131,0.7665
132,0.768
133,0.772
134,0.7705
135,0.7735
136,0.7705
137,0.7705
138,0.77
139,0.773
140,0.7625
141,0.7725
142,0.756
143,0.756
144,0.772
145,0.7505
146,0.7595
147,0.7595
148,0.7515
149,0.7625
150,0.762
151,0.755
152,0.7575
153,0.752
154,0.755
155,0.7575
156,0.746
157,0.7525
158,0.7445
159,0.7465
160,0.753
161,0.7435
162,0.745
163,0.7495
164,0.743
165,0.7455
166,0.7455
167,0.7395
168,0.74
169,0.744
170,0.7375
171,0.7405
172,0.7345
173,0.74
174,0.7415
175,0.732
176,0.739
177,0.7365
178,0.737
