num_removed,accuracy
0,0.811
1,0.811
2,0.803
3,0.807
4,0.806
5,0.8095
6,0.8045
7,0.8045
8,0.809
9,0.804
10,0.8035
11,0.8095
12,0.8095
13,0.809
14,0.8075
15,0.8105
16,0.812
17,0.805
18,0.807
19,0.808
20,0.806
21,0.803
22,0.8065
23,0.8055
24,0.8055
25,0.805
26,0.805
27,0.805
28,0.809
29,0.805
30,0.81
31,0.8105
32,0.8045
33,0.804
34,0.809
35,0.8045
36,0.8045
37,0.8045
38,0.805
39,0.8025
40,0.798
41,0.798
42,0.798
43,0.8015
44,0.7985
45,0.802
46,0.8
47,0.8
48,0.8025
49,0.8045
50,0.8075
51,0.8075
52,0.8075
53,0.8045
54,0.8025
55,0.808
56,0.804
57,0.8045
58,0.802
59,0.8035
60,0.8025
61,0.8075
62,0.8075
63,0.803
64,0.8105
65,0.803
66,0.8045
67,0.8125
68,0.816
69,0.8145
70,0.809
71,0.808
72,0.808
73,0.806
74,0.8045
75,0.8045
76,0.8125
77,0.8105
78,0.812
79,0.8145
80,0.8145
81,0.809
82,0.809
83,0.8095
84,0.803
85,0.8045
86,0.8125
87,0.813
88,0.8145
89,0.811
90,0.8075
91,0.8045
92,0.803
93,0.812
94,0.8095
95,0.803
96,0.8115
97,0.81
98,0.807
99,0.8085
100,0.8075
101,0.812
102,0.8065
103,0.811
104,0.809
105,0.8105
106,0.811
107,0.8115
108,0.8095
109,0.8105
110,0.8115
111,0.811
112,0.805
113,0.8165
114,0.815
115,0.813
116,0.8145
117,0.8165
118,0.8155
119,0.8105
120,0.817
121,0.816
122,0.816
123,0.8135
124,0.813
125,0.809
126,0.8105
127,0.813
128,0.808
129,0.8085
130,0.807
131,0.803
132,0.808
133,0.805
134,0.8075
135,0.8045
136,0.8055
137,0.802
138,0.805
139,0.8035
140,0.8045
141,0.804
142,0.8035
143,0.803
144,0.802
145,0.8035
146,0.8015
147,0.8035
148,0.801
149,0.801
150,0.803
151,0.803
152,0.7975
153,0.801
154,0.8005
155,0.808
156,0.809
157,0.8065
158,0.8155
159,0.809
160,0.8035
161,0.807
162,0.8095
163,0.8125
164,0.816
165,0.807
166,0.811
167,0.807
168,0.8025
169,0.8115
170,0.81
171,0.806
172,0.8055
173,0.8025
174,0.807
175,0.81
176,0.806
177,0.8125
178,0.8025
179,0.8065
180,0.8025
181,0.798
182,0.7985
183,0.79
184,0.79
185,0.798
186,0.7925
187,0.781
188,0.7895
189,0.7965
190,0.785
191,0.7895
192,0.794
193,0.7875
194,0.7955
195,0.7995
196,0.7715
197,0.768
198,0.7865
199,0.7675
200,0.735
201,0.696
202,0.733
203,0.7525
204,0.6875
205,0.682
206,0.6775
207,0.6635
208,0.6555
209,0.663
210,0.6345
211,0.625
212,0.6675
213,0.6395
214,0.6345
215,0.672
216,0.615
217,0.6245
218,0.6215
219,0.6265
220,0.6105
221,0.616
222,0.615
223,0.6095
224,0.6095
225,0.613
226,0.6065
227,0.6055
228,0.604
229,0.599
230,0.6085
231,0.603
232,0.606
233,0.6035
234,0.594
235,0.5935
236,0.594
237,0.5915
238,0.5905
239,0.589
240,0.5855
241,0.583
242,0.589
243,0.5915
244,0.584
245,0.58
246,0.5815
247,0.578
248,0.584
249,0.5805
250,0.5805
251,0.5685
252,0.5655
253,0.566
254,0.56
255,0.5625
256,0.5935
257,0.5945
258,0.5955
259,0.5945
260,0.599
261,0.5925
262,0.593
263,0.5835
264,0.59
265,0.588
266,0.5885
267,0.5855
268,0.589
269,0.582
270,0.588
271,0.43
272,0.4925
273,0.434
274,0.4225
275,0.4305
276,0.43
277,0.4265
278,0.4235
279,0.432
280,0.428
281,0.4205
282,0.4165
283,0.424
284,0.414
285,0.4095
286,0.417
287,0.4145
288,0.41
289,0.406
290,0.4085
291,0.412
292,0.4065
293,0.4005
294,0.405
295,0.402
296,0.407
297,0.4025
298,0.399
299,0.402
300,0.404
301,0.3995
302,0.401
303,0.3935
304,0.3775
305,0.38
306,0.3765
307,0.3735
308,0.3775
309,0.376
310,0.371
311,0.379
312,0.3755
313,0.373
314,0.3715
315,0.3735
316,0.3735
317,0.367
318,0.374
319,0.373
320,0.37
321,0.374
322,0.3675
323,0.356
324,0.361
325,0.348
326,0.3565
327,0.343
328,0.3585
329,0.3725
330,0.3665
331,0.3665
332,0.3635
333,0.35
334,0.342
335,0.3585
336,0.361
337,0.3345
338,0.346
339,0.3465
340,0.34
341,0.347
342,0.3425
343,0.3385
344,0.3495
345,0.3295
346,0.332
347,0.334
348,0.3435
349,0.3325
350,0.3295
351,0.3375
352,0.3385
353,0.3355
354,0.3455
355,0.328
356,0.3445
357,0.332
