num_removed,accuracy
0,0.811
1,0.8045
2,0.8055
3,0.803
4,0.802
5,0.8125
6,0.8105
7,0.811
8,0.809
9,0.8105
10,0.809
11,0.805
12,0.81
13,0.809
14,0.807
15,0.8115
16,0.809
17,0.8115
18,0.8085
19,0.8085
20,0.8075
21,0.812
22,0.8105
23,0.8055
24,0.8065
25,0.808
26,0.81
27,0.81
28,0.812
29,0.8085
30,0.804
31,0.8045
32,0.8045
33,0.8045
34,0.8045
35,0.806
36,0.8075
37,0.8065
38,0.8045
39,0.807
40,0.806
41,0.8115
42,0.8065
43,0.8115
44,0.8
45,0.8075
46,0.8085
47,0.809
48,0.8085
49,0.809
50,0.808
51,0.803
52,0.8035
53,0.807
54,0.8055
55,0.8095
56,0.806
57,0.806
58,0.812
59,0.807
60,0.806
61,0.8065
62,0.8035
63,0.8035
64,0.8085
65,0.8035
66,0.8025
67,0.802
68,0.8065
69,0.809
70,0.801
71,0.802
72,0.8015
73,0.8035
74,0.81
75,0.8045
76,0.809
77,0.804
78,0.804
79,0.8025
80,0.8135
81,0.807
82,0.8055
83,0.8025
84,0.803
85,0.8075
86,0.804
87,0.81
88,0.8095
89,0.81
90,0.8065
91,0.8085
92,0.809
93,0.8075
94,0.8085
95,0.806
96,0.806
97,0.803
98,0.8025
99,0.7975
100,0.8025
101,0.803
102,0.799
103,0.8025
104,0.7985
105,0.801
106,0.8025
107,0.7955
108,0.7955
109,0.7975
110,0.801
111,0.7975
112,0.8
113,0.8
114,0.797
115,0.8045
116,0.7985
117,0.805
118,0.8035
119,0.806
120,0.8015
121,0.813
122,0.812
123,0.8065
124,0.813
125,0.8135
126,0.8135
127,0.8135
128,0.813
129,0.8105
130,0.7995
131,0.8085
132,0.811
133,0.7995
134,0.815
135,0.806
136,0.803
137,0.814
138,0.808
139,0.805
140,0.8115
141,0.808
142,0.8085
143,0.8105
144,0.8115
145,0.812
146,0.811
147,0.8075
148,0.8025
149,0.8025
150,0.8025
151,0.809
152,0.805
153,0.8095
154,0.8125
155,0.814
156,0.8045
157,0.8095
158,0.802
159,0.809
160,0.809
161,0.8065
162,0.8045
163,0.8075
164,0.801
165,0.803
166,0.8045
167,0.8015
168,0.802
169,0.8095
170,0.8125
171,0.802
172,0.812
173,0.8075
174,0.804
175,0.809
176,0.807
177,0.8055
178,0.807
179,0.801
180,0.802
181,0.81
182,0.803
183,0.803
184,0.803
185,0.802
186,0.7945
187,0.798
188,0.7955
189,0.8015
190,0.776
191,0.795
192,0.798
193,0.7985
194,0.8005
195,0.7855
196,0.7865
197,0.783
198,0.783
199,0.789
200,0.788
201,0.788
202,0.7865
203,0.7855
204,0.7565
205,0.771
206,0.7005
207,0.6885
208,0.674
209,0.667
210,0.684
211,0.662
212,0.6685
213,0.66
214,0.6615
215,0.6745
216,0.649
217,0.66
218,0.649
219,0.6625
220,0.6675
221,0.629
222,0.626
223,0.6435
224,0.6245
225,0.6255
226,0.63
227,0.6255
228,0.629
229,0.62
230,0.6195
231,0.6205
232,0.622
233,0.622
234,0.616
235,0.6225
236,0.6125
237,0.611
238,0.6035
239,0.6105
240,0.6115
241,0.6085
242,0.6035
243,0.617
244,0.6145
245,0.596
246,0.599
247,0.5985
248,0.609
249,0.6145
250,0.607
251,0.609
252,0.5945
253,0.5895
254,0.589
255,0.5915
256,0.5935
257,0.601
258,0.586
259,0.593
260,0.5805
261,0.581
262,0.58
263,0.48
264,0.485
265,0.4825
266,0.492
267,0.496
268,0.503
269,0.4985
270,0.498
271,0.508
272,0.4765
273,0.4905
274,0.4375
275,0.4385
276,0.43
277,0.4395
278,0.4225
279,0.4305
280,0.421
281,0.4245
282,0.4125
283,0.427
284,0.427
285,0.4245
286,0.4145
287,0.423
288,0.417
289,0.4205
290,0.4155
291,0.4145
292,0.42
293,0.4145
294,0.4165
295,0.416
296,0.412
297,0.419
298,0.4145
299,0.42
300,0.4215
301,0.3975
302,0.414
303,0.4125
304,0.4065
305,0.415
306,0.4045
307,0.4075
308,0.4125
309,0.3965
310,0.3935
311,0.3975
312,0.392
313,0.3905
314,0.3835
315,0.395
316,0.388
317,0.4005
318,0.3925
319,0.377
320,0.388
321,0.384
322,0.3915
323,0.3795
324,0.383
325,0.379
326,0.373
327,0.363
328,0.3585
329,0.366
330,0.368
331,0.366
332,0.3635
333,0.3675
334,0.362
335,0.352
336,0.3505
337,0.356
338,0.3615
339,0.3595
340,0.3605
341,0.3635
342,0.3585
343,0.3575
344,0.352
345,0.3495
346,0.349
347,0.347
348,0.3535
349,0.36
350,0.3545
351,0.3575
352,0.354
353,0.35
354,0.35
355,0.348
356,0.3505
357,0.347
358,0.3485
359,0.351
360,0.3425
361,0.339
362,0.353
363,0.338
364,0.343
365,0.3405
366,0.325
367,0.3275
368,0.3305
369,0.318
370,0.3255
371,0.32
372,0.326
373,0.3145
374,0.343
375,0.329
376,0.323
377,0.323
378,0.3295
379,0.3235
380,0.3245
381,0.3125
382,0.31
383,0.31
384,0.3075
385,0.3165
386,0.309
387,0.3015
388,0.304
389,0.2895
390,0.292
391,0.2955
392,0.286
393,0.2845
394,0.291
395,0.2945
396,0.29
397,0.2945
398,0.2765
399,0.293
400,0.286
401,0.2825
402,0.2855
403,0.281
404,0.2775
405,0.284
406,0.2985
407,0.2965
408,0.3005
409,0.307
410,0.3005
411,0.29
412,0.295
413,0.295
414,0.286
415,0.2925
416,0.2865
417,0.2825
418,0.283
419,0.283
420,0.2855
421,0.289
422,0.283
423,0.2855
424,0.2885
425,0.281
426,0.311
427,0.307
428,0.309
429,0.3175
430,0.325
431,0.3215
432,0.325
433,0.325
434,0.3375
435,0.3385
436,0.3455
437,0.3105
438,0.3245
439,0.313
440,0.339
441,0.339
442,0.323
443,0.361
444,0.362
445,0.3395
446,0.3345
447,0.332
448,0.3135
449,0.4005
450,0.4005
451,0.369
452,0.305
453,0.339
454,0.346
455,0.352
456,0.352
457,0.374
458,0.374
459,0.371
460,0.371
461,0.3845
462,0.3845
463,0.37
464,0.37
465,0.37
466,0.3655
467,0.3655
468,0.365
469,0.363
470,0.363
471,0.3535
472,0.3535
473,0.3525
474,0.3515
475,0.644
476,0.644
477,0.644
478,0.6915
479,0.691
480,0.695
481,0.7095
482,0.71
483,0.7125
484,0.3205
485,0.3215
486,0.321
487,0.3315
488,0.643
489,0.7065
490,0.7065
491,0.7065
492,0.7065
493,0.7065
494,0.7065
495,0.7065
496,0.7065
497,0.7065
498,0.7065
499,0.7065
