num_removed,accuracy
0,0.811
1,0.81
2,0.805
3,0.8095
4,0.807
5,0.8115
6,0.814
7,0.8095
8,0.8075
9,0.809
10,0.8095
11,0.807
12,0.8065
13,0.809
14,0.8055
15,0.8095
16,0.8045
17,0.8005
18,0.805
19,0.807
20,0.798
21,0.803
22,0.807
23,0.809
24,0.8065
25,0.805
26,0.8015
27,0.8085
28,0.8095
29,0.8035
30,0.798
31,0.797
32,0.801
33,0.7945
34,0.7955
35,0.7975
36,0.7925
37,0.795
38,0.798
39,0.7955
40,0.794
41,0.805
42,0.802
43,0.802
44,0.803
45,0.8055
46,0.8035
47,0.804
48,0.8025
49,0.7985
50,0.8005
51,0.799
52,0.8015
53,0.8015
54,0.803
55,0.7995
56,0.801
57,0.8005
58,0.7995
59,0.802
60,0.796
61,0.796
62,0.801
63,0.8025
64,0.7975
65,0.798
66,0.802
67,0.7985
68,0.8
69,0.7985
70,0.8005
71,0.8025
72,0.803
73,0.7985
74,0.798
75,0.797
76,0.794
77,0.785
78,0.7845
79,0.787
80,0.7875
81,0.7865
82,0.782
83,0.7895
84,0.7845
85,0.7925
86,0.7905
87,0.792
88,0.7895
89,0.7875
90,0.7895
91,0.79
92,0.7895
93,0.79
94,0.788
95,0.793
96,0.7925
97,0.7925
98,0.7935
99,0.791
100,0.792
101,0.796
102,0.7905
103,0.7945
104,0.7935
105,0.7945
106,0.793
107,0.7905
108,0.7915
109,0.791
110,0.7945
111,0.79
112,0.789
113,0.7915
114,0.79
115,0.789
116,0.7885
117,0.7905
118,0.7885
119,0.788
120,0.785
121,0.7865
122,0.783
123,0.784
124,0.7825
125,0.7835
126,0.787
127,0.784
128,0.7865
129,0.7885
130,0.786
131,0.787
132,0.7855
133,0.7855
134,0.7905
135,0.785
136,0.7835
137,0.7875
138,0.783
139,0.784
140,0.793
141,0.7875
142,0.7845
143,0.7855
144,0.788
145,0.7835
146,0.785
147,0.786
148,0.7845
149,0.786
150,0.7885
151,0.785
152,0.7885
153,0.788
154,0.7875
155,0.7855
156,0.7915
157,0.789
158,0.788
159,0.7895
160,0.7855
161,0.786
162,0.7815
163,0.7865
164,0.79
165,0.7865
166,0.7895
167,0.79
168,0.786
169,0.788
170,0.7915
171,0.7875
172,0.788
173,0.7885
174,0.782
175,0.785
176,0.782
177,0.7875
178,0.7885
179,0.7825
180,0.776
181,0.7575
182,0.771
183,0.778
184,0.78
185,0.7665
186,0.766
187,0.765
188,0.7665
189,0.766
190,0.7675
191,0.767
192,0.761
193,0.761
194,0.761
195,0.7585
196,0.7615
197,0.7605
198,0.762
199,0.7625
200,0.7585
201,0.7625
202,0.7635
203,0.7635
204,0.763
205,0.762
206,0.762
207,0.7625
208,0.7625
209,0.76
210,0.762
211,0.763
212,0.7625
213,0.7515
214,0.753
215,0.753
216,0.7605
217,0.7475
218,0.7475
219,0.747
220,0.747
221,0.747
222,0.7475
223,0.7475
224,0.7435
225,0.7435
226,0.7435
227,0.7435
228,0.7435
229,0.7435
230,0.7435
231,0.7435
232,0.7435
233,0.7435
234,0.7435
235,0.7455
236,0.745
237,0.745
238,0.745
239,0.745
240,0.745
241,0.745
242,0.745
243,0.745
244,0.745
245,0.745
246,0.745
247,0.745
248,0.745
249,0.745
250,0.745
251,0.745
252,0.745
253,0.745
254,0.745
255,0.745
256,0.7455
257,0.7455
258,0.7455
259,0.7455
260,0.7455
261,0.7455
262,0.7475
263,0.7505
264,0.7485
265,0.7505
266,0.7515
267,0.7515
268,0.7515
269,0.7515
270,0.7505
271,0.7505
272,0.744
273,0.744
274,0.7475
275,0.744
276,0.744
277,0.744
278,0.744
279,0.748
280,0.744
281,0.744
282,0.744
283,0.744
284,0.749
285,0.749
286,0.7165
287,0.734
288,0.7165
289,0.7165
290,0.732
291,0.724
292,0.724
293,0.724
294,0.724
295,0.724
296,0.724
297,0.724
298,0.724
299,0.7065
300,0.7065
301,0.7065
302,0.7065
303,0.7065
304,0.7065
305,0.7065
306,0.7065
307,0.7065
308,0.7065
309,0.7065
310,0.7065
311,0.7065
312,0.7065
313,0.7065
314,0.7065
315,0.7065
316,0.7065
317,0.7065
318,0.7065
319,0.7065
320,0.7065
321,0.7065
322,0.7065
323,0.7065
324,0.7065
325,0.7065
326,0.7065
327,0.7065
328,0.7065
329,0.7065
330,0.7065
331,0.7065
332,0.7065
333,0.7065
334,0.7065
335,0.7065
336,0.7065
337,0.7065
338,0.7065
339,0.7065
340,0.7065
341,0.7065
342,0.7065
343,0.7065
344,0.7065
345,0.7065
346,0.7065
347,0.7065
348,0.7065
349,0.7065
350,0.7065
351,0.7065
352,0.7065
353,0.7065
354,0.7065
355,0.7065
356,0.7065
357,0.7065
358,0.7065
359,0.7065
360,0.7065
361,0.7065
362,0.7065
363,0.7065
364,0.7065
365,0.7065
366,0.7065
367,0.7065
368,0.7065
369,0.7065
370,0.7065
371,0.7065
372,0.7065
373,0.7065
374,0.7065
375,0.7065
376,0.7065
377,0.7065
378,0.7065
379,0.7065
380,0.7065
381,0.7065
382,0.7065
383,0.7065
384,0.7065
385,0.7065
386,0.7065
387,0.7065
388,0.7065
389,0.7065
390,0.7065
391,0.7065
392,0.7065
393,0.7065
394,0.7065
395,0.7065
396,0.7065
397,0.7065
398,0.7065
399,0.7065
400,0.7065
401,0.7065
402,0.7065
403,0.7065
404,0.7065
405,0.7065
406,0.7065
407,0.7065
408,0.7065
409,0.7065
410,0.7065
411,0.7065
412,0.7065
413,0.7065
414,0.7065
415,0.7065
416,0.7065
417,0.7065
418,0.7065
419,0.7065
420,0.7065
421,0.7065
422,0.7065
423,0.7065
424,0.7065
425,0.7065
426,0.7065
427,0.7065
428,0.7065
429,0.7065
430,0.7065
431,0.7065
432,0.7065
433,0.7065
434,0.7065
435,0.7065
436,0.7065
437,0.7065
438,0.7065
439,0.7065
440,0.7065
441,0.7065
442,0.7065
443,0.7065
444,0.7065
445,0.7065
446,0.7065
447,0.7065
448,0.7065
449,0.7065
450,0.7065
451,0.7065
452,0.7065
453,0.7065
454,0.7065
455,0.7065
456,0.7065
457,0.7065
458,0.7065
459,0.7065
460,0.7065
461,0.7065
462,0.7065
463,0.7065
464,0.7065
465,0.7065
466,0.7065
467,0.7065
468,0.7065
469,0.7065
470,0.7065
471,0.7065
472,0.7065
473,0.7065
474,0.7065
475,0.7065
476,0.7065
477,0.7065
478,0.7065
479,0.7065
480,0.7065
481,0.7065
482,0.7065
483,0.7065
484,0.7065
485,0.7065
486,0.7065
487,0.7065
488,0.7065
489,0.7065
490,0.7065
491,0.7065
492,0.7065
493,0.7065
494,0.7065
495,0.7065
496,0.7065
497,0.7065
498,0.7065
499,0.7065
