num_removed,accuracy
0,0.811
1,0.81
2,0.808
3,0.8055
4,0.801
5,0.805
6,0.8025
7,0.807
8,0.8065
9,0.805
10,0.801
11,0.806
12,0.803
13,0.809
14,0.8105
15,0.8045
16,0.804
17,0.8025
18,0.807
19,0.8065
20,0.807
21,0.803
22,0.8055
23,0.806
24,0.7995
25,0.803
26,0.8065
27,0.8005
28,0.7955
29,0.7965
30,0.8025
31,0.8
32,0.795
33,0.794
34,0.7975
35,0.8
36,0.7955
37,0.799
38,0.7955
39,0.8005
40,0.8005
41,0.7975
42,0.7995
43,0.797
44,0.7925
45,0.792
46,0.7915
47,0.7925
48,0.781
49,0.7935
50,0.787
51,0.787
52,0.7895
53,0.786
54,0.7825
55,0.786
56,0.7855
57,0.79
58,0.788
59,0.7915
60,0.788
61,0.786
62,0.7875
63,0.786
64,0.787
65,0.792
66,0.7965
67,0.797
68,0.788
69,0.7755
70,0.768
71,0.778
72,0.771
73,0.7775
74,0.7595
75,0.748
76,0.743
77,0.75
78,0.7515
79,0.747
80,0.75
81,0.754
82,0.752
83,0.7555
84,0.752
85,0.759
86,0.7485
87,0.7515
88,0.7555
89,0.747
90,0.747
91,0.7455
92,0.741
93,0.734
94,0.7335
95,0.7375
96,0.7395
97,0.747
98,0.739
99,0.7355
100,0.7335
101,0.7355
102,0.732
103,0.733
104,0.732
105,0.738
106,0.7415
107,0.737
108,0.7365
109,0.734
110,0.7385
111,0.732
112,0.7325
113,0.731
114,0.729
115,0.725
116,0.7245
117,0.723
118,0.7255
119,0.723
120,0.7215
121,0.719
122,0.72
123,0.72
124,0.7165
125,0.715
126,0.7025
127,0.7135
128,0.7095
129,0.701
130,0.701
131,0.694
132,0.6945
133,0.7015
134,0.6945
135,0.6895
136,0.6845
137,0.6855
138,0.679
139,0.6715
140,0.6735
141,0.6725
142,0.673
143,0.6675
144,0.669
145,0.669
146,0.6695
147,0.6695
148,0.6715
149,0.669
150,0.6695
151,0.6685
152,0.67
153,0.6685
154,0.6715
155,0.673
156,0.672
157,0.6715
158,0.6695
159,0.667
160,0.667
161,0.667
162,0.6675
163,0.671
164,0.67
165,0.67
166,0.6715
167,0.671
168,0.67
169,0.6665
170,0.6705
171,0.668
172,0.6665
173,0.661
174,0.661
175,0.66
176,0.661
177,0.661
178,0.6575
179,0.6665
180,0.6605
181,0.66
182,0.663
183,0.669
184,0.6635
185,0.663
186,0.6645
187,0.6625
188,0.665
189,0.662
190,0.664
191,0.6645
192,0.659
193,0.661
194,0.6545
195,0.65
196,0.646
197,0.6465
198,0.6485
199,0.649
200,0.648
201,0.6495
202,0.6535
203,0.6555
204,0.6495
205,0.6495
206,0.6475
207,0.6485
208,0.648
209,0.647
210,0.646
211,0.642
212,0.645
213,0.6475
214,0.643
215,0.65
216,0.6405
217,0.6415
218,0.6425
219,0.641
220,0.6425
221,0.645
222,0.6495
223,0.649
224,0.6485
225,0.6465
226,0.6525
227,0.6465
228,0.646
229,0.648
230,0.6525
231,0.6535
232,0.6525
233,0.6555
234,0.6595
235,0.6535
236,0.6555
237,0.657
238,0.6585
239,0.657
240,0.6465
241,0.6445
242,0.646
243,0.6445
244,0.6445
245,0.6445
246,0.6455
247,0.6455
248,0.6455
249,0.6455
250,0.644
251,0.644
252,0.644
253,0.644
254,0.644
255,0.644
256,0.6435
257,0.645
258,0.645
259,0.6445
260,0.644
261,0.644
262,0.6445
263,0.642
264,0.645
265,0.645
266,0.645
267,0.6445
268,0.644
269,0.644
270,0.6465
271,0.6465
272,0.6465
273,0.6465
274,0.6465
275,0.6435
276,0.6435
277,0.6435
278,0.6435
279,0.6435
280,0.6435
281,0.6435
282,0.6465
283,0.6465
284,0.6465
285,0.6465
286,0.6465
287,0.6455
288,0.6455
289,0.6455
290,0.6485
291,0.646
292,0.646
293,0.646
294,0.646
295,0.646
296,0.6355
297,0.6515
298,0.6515
299,0.6515
300,0.6515
301,0.6515
302,0.6515
303,0.6515
304,0.649
305,0.649
306,0.649
307,0.649
308,0.647
309,0.641
310,0.641
311,0.641
312,0.641
313,0.641
314,0.641
315,0.6415
316,0.6415
317,0.6415
318,0.6495
319,0.6495
320,0.6495
321,0.6495
322,0.6495
323,0.6495
324,0.6495
325,0.6495
326,0.6495
327,0.6495
328,0.6495
329,0.6495
330,0.6495
331,0.6495
332,0.6495
333,0.6495
334,0.6495
335,0.6495
336,0.6495
337,0.6495
338,0.6495
339,0.6495
340,0.6495
341,0.6495
342,0.6495
343,0.6495
344,0.6495
345,0.648
346,0.6495
347,0.6495
348,0.6495
349,0.6495
350,0.6495
351,0.6495
352,0.6495
353,0.6495
354,0.6495
355,0.6495
356,0.6495
357,0.6495
358,0.648
359,0.648
360,0.648
361,0.648
362,0.648
363,0.648
364,0.648
365,0.648
366,0.6495
367,0.6495
368,0.6495
369,0.6495
370,0.6495
371,0.6495
372,0.6495
373,0.6495
374,0.6495
375,0.6495
376,0.648
377,0.648
378,0.648
379,0.648
380,0.6495
381,0.6495
382,0.6495
383,0.648
384,0.648
385,0.6495
386,0.6495
387,0.65
388,0.65
389,0.6515
390,0.6515
391,0.6515
392,0.6515
393,0.6515
394,0.6515
395,0.6515
396,0.65
397,0.65
398,0.6515
399,0.6515
400,0.6515
401,0.6515
402,0.6515
403,0.6515
404,0.6515
405,0.6515
406,0.65
407,0.65
408,0.65
409,0.648
410,0.648
411,0.648
412,0.6475
413,0.6475
414,0.6475
415,0.649
416,0.649
417,0.649
418,0.649
419,0.649
420,0.6395
421,0.6395
422,0.6435
423,0.639
424,0.6375
425,0.639
426,0.637
427,0.642
428,0.645
429,0.645
430,0.645
431,0.645
432,0.645
433,0.644
434,0.643
435,0.643
436,0.6455
437,0.6455
438,0.6455
439,0.645
440,0.645
441,0.645
442,0.64
443,0.6445
444,0.6395
445,0.6385
446,0.639
447,0.639
448,0.639
449,0.6395
450,0.6405
451,0.6475
452,0.6475
453,0.6465
454,0.639
455,0.64
456,0.612
457,0.606
458,0.606
459,0.606
460,0.606
461,0.606
462,0.6055
463,0.6055
464,0.6045
465,0.604
466,0.6035
467,0.6335
468,0.624
469,0.3535
470,0.3535
471,0.351
472,0.3565
473,0.3545
474,0.3475
475,0.3205
476,0.3145
477,0.3195
478,0.3195
479,0.313
480,0.2885
481,0.3415
482,0.2615
483,0.562
484,0.5455
485,0.5355
486,0.5455
487,0.5345
488,0.7065
489,0.7065
490,0.7065
491,0.7065
492,0.7065
493,0.7065
494,0.7065
495,0.7065
496,0.7065
497,0.7065
498,0.7065
499,0.7065
