num_removed,accuracy
0,0.811
1,0.81
2,0.8075
3,0.813
4,0.8115
5,0.8165
6,0.813
7,0.8125
8,0.814
9,0.815
10,0.818
11,0.815
12,0.8175
13,0.8115
14,0.811
15,0.8085
16,0.8115
17,0.8145
18,0.8045
19,0.813
20,0.8075
21,0.805
22,0.8055
23,0.8075
24,0.804
25,0.804
26,0.8
27,0.8035
28,0.8
29,0.7985
30,0.8035
31,0.805
32,0.8055
33,0.804
34,0.802
35,0.804
36,0.802
37,0.8015
38,0.808
39,0.8045
40,0.803
41,0.8055
42,0.8075
43,0.804
44,0.804
45,0.8025
46,0.8025
47,0.802
48,0.8045
49,0.805
50,0.808
51,0.8055
52,0.8065
53,0.8045
54,0.8085
55,0.8045
56,0.802
57,0.8035
58,0.8035
59,0.8035
60,0.801
61,0.8005
62,0.7985
63,0.7995
64,0.7985
65,0.7945
66,0.7955
67,0.795
68,0.794
69,0.7975
70,0.7935
71,0.795
72,0.794
73,0.789
74,0.79
75,0.7875
76,0.7895
77,0.786
78,0.7885
79,0.786
80,0.7895
81,0.789
82,0.789
83,0.788
84,0.787
85,0.792
86,0.7915
87,0.787
88,0.7875
89,0.7865
90,0.785
91,0.785
92,0.7875
93,0.788
94,0.787
95,0.787
96,0.791
97,0.791
98,0.791
99,0.7935
100,0.7935
101,0.7915
102,0.788
103,0.7865
104,0.788
105,0.7855
106,0.79
107,0.787
108,0.784
109,0.778
110,0.778
111,0.7815
112,0.7775
113,0.7775
114,0.7895
115,0.7895
116,0.7895
117,0.7905
118,0.791
119,0.789
120,0.791
121,0.791
122,0.789
123,0.789
124,0.7885
125,0.7815
126,0.7835
127,0.7835
128,0.7835
129,0.78
130,0.7825
131,0.7805
132,0.7805
133,0.78
134,0.7805
135,0.7805
136,0.7805
137,0.7805
138,0.781
139,0.781
140,0.7795
141,0.7805
142,0.781
143,0.781
144,0.781
145,0.781
146,0.781
147,0.7835
148,0.7845
149,0.773
150,0.773
151,0.775
152,0.775
153,0.775
154,0.774
155,0.7755
156,0.7715
157,0.773
158,0.773
159,0.773
160,0.773
161,0.774
162,0.774
163,0.775
164,0.775
165,0.775
166,0.7735
167,0.774
168,0.774
169,0.7675
170,0.767
171,0.767
172,0.7625
173,0.765
174,0.765
175,0.7675
176,0.7675
177,0.7675
178,0.767
179,0.767
180,0.768
181,0.768
182,0.768
183,0.768
184,0.769
185,0.7685
186,0.7675
187,0.7695
188,0.7685
189,0.767
190,0.767
191,0.77
192,0.77
193,0.77
194,0.77
195,0.7725
196,0.7725
197,0.7705
198,0.7705
199,0.769
200,0.769
201,0.771
202,0.771
203,0.7685
204,0.7685
205,0.7685
206,0.768
207,0.768
208,0.77
209,0.769
210,0.769
211,0.769
212,0.768
213,0.768
214,0.7675
215,0.7675
216,0.7635
217,0.7635
218,0.768
219,0.7655
220,0.7655
221,0.7665
222,0.761
223,0.761
224,0.768
225,0.768
226,0.768
227,0.768
228,0.768
229,0.768
230,0.768
231,0.768
232,0.7685
233,0.7665
234,0.7665
235,0.77
236,0.77
237,0.77
238,0.77
239,0.77
240,0.77
241,0.779
242,0.779
243,0.779
244,0.7795
245,0.779
246,0.779
247,0.779
248,0.779
249,0.779
250,0.779
251,0.779
252,0.779
253,0.779
254,0.779
255,0.779
256,0.779
257,0.779
258,0.7795
259,0.778
260,0.778
261,0.778
262,0.778
263,0.778
264,0.778
265,0.7795
266,0.781
267,0.781
268,0.7805
269,0.7795
270,0.78
271,0.7815
272,0.7815
273,0.7815
274,0.781
275,0.781
276,0.781
277,0.7815
278,0.78
279,0.7815
280,0.781
281,0.7795
282,0.7795
283,0.7815
284,0.7815
285,0.7805
286,0.7805
287,0.7805
288,0.7805
289,0.78
290,0.78
291,0.78
292,0.7805
293,0.7805
294,0.774
295,0.774
296,0.771
297,0.776
298,0.7745
299,0.7745
300,0.772
301,0.773
302,0.773
303,0.772
304,0.772
305,0.7725
306,0.7725
307,0.7725
308,0.7725
309,0.7725
310,0.7725
311,0.7725
312,0.7635
313,0.763
314,0.763
315,0.763
316,0.763
317,0.7565
318,0.7575
319,0.757
320,0.758
321,0.759
322,0.7565
323,0.758
324,0.758
325,0.758
326,0.7605
327,0.758
328,0.758
329,0.7595
330,0.7605
331,0.758
332,0.758
333,0.7575
334,0.7595
335,0.7575
336,0.7575
337,0.757
338,0.757
339,0.758
340,0.755
341,0.7575
342,0.7555
343,0.7575
344,0.757
345,0.7605
346,0.758
347,0.7575
348,0.7575
349,0.7605
350,0.759
351,0.7615
352,0.76
353,0.7605
354,0.761
355,0.761
356,0.7615
357,0.7605
358,0.7595
359,0.76
360,0.7625
361,0.763
362,0.7625
363,0.7615
364,0.762
365,0.762
366,0.7605
367,0.7605
368,0.7655
369,0.7615
370,0.7615
371,0.766
372,0.767
373,0.766
374,0.765
375,0.765
376,0.767
377,0.7665
378,0.7665
379,0.7665
380,0.7665
381,0.767
382,0.767
383,0.767
384,0.767
385,0.767
386,0.7695
387,0.7695
388,0.7685
389,0.7685
390,0.769
391,0.7695
392,0.7695
393,0.769
394,0.7625
395,0.7635
396,0.768
397,0.7625
398,0.7625
399,0.767
400,0.7675
401,0.767
402,0.772
403,0.7715
404,0.7715
405,0.7735
406,0.7715
407,0.7715
408,0.771
409,0.77
410,0.77
411,0.772
412,0.769
413,0.7695
414,0.7685
415,0.7655
416,0.766
417,0.7665
418,0.765
419,0.7715
420,0.7695
421,0.766
422,0.7715
423,0.7635
424,0.756
425,0.7565
426,0.7565
427,0.7555
428,0.7555
429,0.7565
430,0.7565
431,0.755
432,0.755
433,0.755
434,0.7545
435,0.7425
436,0.7405
437,0.7405
438,0.7445
439,0.7445
440,0.7445
441,0.745
442,0.7405
443,0.7405
444,0.7405
445,0.7405
446,0.7405
447,0.7405
448,0.733
449,0.733
450,0.733
451,0.733
452,0.733
453,0.736
454,0.7505
455,0.753
456,0.767
457,0.768
458,0.7745
459,0.778
460,0.771
461,0.7675
462,0.7695
463,0.7715
464,0.7725
465,0.7725
466,0.7725
467,0.7725
468,0.7725
469,0.777
470,0.7725
471,0.7725
472,0.7725
473,0.77
474,0.783
475,0.7835
476,0.7815
477,0.7795
478,0.7805
479,0.7565
480,0.785
481,0.7775
482,0.786
483,0.786
484,0.786
485,0.775
486,0.767
487,0.7155
488,0.714
489,0.7065
490,0.7065
491,0.7065
492,0.7065
493,0.7065
494,0.7065
495,0.7065
496,0.7065
497,0.7065
498,0.7065
499,0.7065
